WT_1	WT_2	KO_1	KO_2
0610005C13Rik	6	5	3	5
0610007P14Rik	1380	1244	1389	1160
0610009B22Rik	279	285	343	278
0610009L18Rik	11	5	9	9
0610009O20Rik	380.05	378.94	461.18	381.87
0610010B08Rik	287.52	185.67	439.1	319.35
0610010F05Rik	345	335	451	385
0610010K14Rik	422	465	673	426
0610011F06Rik	69	82	88	54
0610012G03Rik	298	273	371	300
0610030E20Rik	390	399	448	376
0610031O16Rik	0	0	0	0
0610037L13Rik	257	272	341	257
0610038B21Rik	14.12	14.52	20.74	18.31
0610039H22Rik	0	0	0	0
0610039K10Rik	4.31	1.08	3.21	1.07
0610040B10Rik	16	10	11	11
0610040F04Rik	0	0	0	0
0610040J01Rik	0	0	2	3
0610043K17Rik	7	1	2	4
1010001N08Rik	30	21	26	26
1110001J03Rik	52	79	111	57
1110002L01Rik	361.9	340.45	409.06	392.97
1110004E09Rik	133	160	179	142
1110004F10Rik	1477	1489	1742	1538
1110006O24Rik	13	7	14	12
1110007C09Rik	170	176	240	220
1110008F13Rik	1958.48	2085.78	2427.81	2085.79
1110008L16Rik	216.41	216.02	198.27	197.28
1110008P14Rik	175	168	211	169
1110012L19Rik	328	351	381	320
1110015O18Rik	0	0	0	0
1110017D15Rik	2	3	4	6
1110019D14Rik	70	54	54	68
1110020A21Rik	2	1	0	8
1110025L11Rik	0	0	0	0
1110028F11Rik	0	0	0	0
1110028F18Rik	0	0	0	0
1110032A03Rik	204	220	271	219
1110032F04Rik	0	0	0	2
1110034G24Rik	27	37	36	29
1110036E04Rik	0	0	0	0
1110037F02Rik	1714	1713	1828	1646
1110038B12Rik	921	931	1038	912
1110038F14Rik	277	318	372	304
1110046J04Rik	78	57	97	78
1110051M20Rik	241	225	290	238
1110058D11Rik	0	1	0	0
1110059E24Rik	336	383	425	390
1110059G10Rik	177	180	248	212
1110065P20Rik	245.17	231.64	326.15	227.72
1190002F15Rik	129	132	160	128
1190002N15Rik	816	876	971	881
1190003K10Rik	0	0	0	0
1190005I06Rik	0	1.36	0	7.87
1190007I07Rik	33	32	37	22
1200014J11Rik	635	659	784	630
1300002E11Rik	104	116	133	111
1300017J02Rik	2	1	4	6
1500004A13Rik	77.48	85.13	84.88	92.92
1500009C09Rik	1	0	1	0
1500009L16Rik	17	29	16	13
1500011B03Rik	159	172	200	159
1500011K16Rik	148	166	195	154
1500012F01Rik	1351	1366	1522	1159
1500012K07Rik	0	0	0	0
1500015A07Rik	30	32	30	27
1500015L24Rik	0	0	0	0
1500015O10Rik	38	31	44	31
1500017E21Rik	0	0	14.58	10.7
1500026H17Rik	2	0	2	1
1600002D24Rik	0	0	0	0
1600002H07Rik	200	166	235	221
1600002K03Rik	111	108	150	106
1600010M07Rik	0	2	1	0
1600012H06Rik	809.3	818.83	944.15	827.79
1600014C10Rik	655	672	739	667
1600014C23Rik	2	1	0	0
1600014K23Rik	0	0	0	0
1600015I10Rik	0	0	0	0
1600019K03Rik	0	0	0	0
1600020E01Rik	50	62	59	59
1600023N17Rik	2	1	0	4
1600025M17Rik	0	0	0	0
1600027J07Rik	0	1	0	2
1600029I14Rik	0	0	0	1
1600029O15Rik	0	1	0	0
1700001C02Rik	0	0	0	0
1700001C19Rik	2	1	1	1
1700001D01Rik	0	0	1	0
1700001F09Rik	0	0	0	0
1700001G01Rik	0	0	1	0
1700001G11Rik	7.08	14.2	21.22	11.1
1700001G17Rik	3	3	4	1
1700001J03Rik	1	1	3	4
1700001J11Rik	2.65	1	0	0
1700001K19Rik	2	1	3	2
1700001K23Rik	1	2	1	1
1700001L05Rik	54	46	106	76
1700001L19Rik	1	0	3	4
1700001O22Rik	6	9	8	6
1700001P01Rik	0	0	0	0
1700003C15Rik	0	0	0	0
1700003D09Rik	0	0	0	0
1700003E16Rik	6	15	15	5
1700003E24Rik	0	0	0	0
1700003F12Rik	2	4	11	5
1700003G13Rik	0	0	0	0
1700003G18Rik	0	0	0	1
1700003H04Rik	0	0	0	0
1700003I22Rik	0	0	0	0
1700003L19Rik	0	0	0	0
1700003M02Rik	0	0	1	0
1700003M07Rik	1	0	0	0
1700003P14Rik	0	0	0	0
1700006A11Rik	0	0	0	0
1700006E09Rik	0	0	0	0
1700006F04Rik	0	0	0	0
1700006H21Rik	0	0	0	0
1700007B14Rik	1	0	2	0
1700007F19Rik	0	0	0	0
1700007G11Rik	0	0	2	0
1700007J10Rik	3.14	1.05	2.08	0
1700007K09Rik	0	0	3	3
1700007K13Rik	11	4	11	8
1700007L15Rik	44	45	51	36
1700007P06Rik	0	0	0	0
1700008C04Rik	0	0	0	0
1700008J07Rik	36.33	39.1	33.54	36.66
1700008K24Rik	0	0	0	0
1700008O03Rik	2	3	1	3
1700008P02Rik	0	0	0	0
1700009C05Rik	1	0	0	0
1700009J07Rik	0	0	0	0
1700009N14Rik	0	0	0	0
1700010B08Rik	0	0	0	0
1700010D01Rik	0	1	0	1
1700010I02Rik	0	0	0	0
1700010I14Rik	11	18	26	19
1700010J16Rik	0	0	0	0
1700010K23Rik	0	0	0	0
1700011A15Rik	0	0	0	0
1700011B04Rik	0	0	0	0
1700011C11Rik	0	0	0	0
1700011E24Rik	0	0	0	0
1700011H14Rik	0	0	0	0
1700011I03Rik	0	0	0	0
1700011L22Rik	0	0	0	0
1700011M02Rik	0	0	0	0
1700012A03Rik	0	0	0	0
1700012B07Rik	0	0	2	0
1700012B09Rik	0	0	1	0
1700012C14Rik	0	0	0	0
1700012D01Rik	16	8	18	13
1700012D14Rik	2	4	3	6
