WT_1	WT_2	KO_1	KO_2
0610005C13Rik	6	4	2	5
0610007P14Rik	253	315	295	352
0610009B22Rik	282	369	290	241
0610009L18Rik	14	19	28	7
0610009O20Rik	681.71	741.58	718.31	564.42
0610010B08Rik	175.34	284.33	393.74	256.36
0610010F05Rik	822	895	831	729
0610010K14Rik	331	363	504	299
0610011F06Rik	187	210	191	138
0610012G03Rik	931	1054	1235	741
0610030E20Rik	498	560	619	542
0610031O16Rik	0	0	0	1
0610037L13Rik	262	276	433	291
0610038B21Rik	15.41	17.08	32.95	13.5
0610039H22Rik	0	0	0	0
0610039K10Rik	3.2	0	5.3	6.42
0610040B10Rik	18	32	26	16
0610040F04Rik	2.06	0	1.01	0
0610040J01Rik	0	0	0	1
0610043K17Rik	15	14	3	5
1010001N08Rik	25	22	19	14
1110001J03Rik	391	418	560	223
1110002L01Rik	81.82	132.35	108.28	143.7
1110004E09Rik	305	337	356	235
1110004F10Rik	1016	1247	816	1147
1110006O24Rik	18	12	11	7
1110007C09Rik	438	420	471	423
1110008F13Rik	4498.92	5932.65	5178.83	3899.43
1110008L16Rik	228.95	291.35	236.85	254.16
1110008P14Rik	970	1118	1348	1170
1110012L19Rik	259	278	283	217
1110015O18Rik	0	0	0	0
1110017D15Rik	1	2	2	1
1110019D14Rik	46	66	48	58
1110020A21Rik	9	7	5	8
1110025L11Rik	0	0	0	0
1110028F11Rik	0	0	0	0
1110028F18Rik	0	0	0	0
1110032A03Rik	403	435	309	315
1110032F04Rik	0	1	0	0
1110034G24Rik	40	53	73	58
1110036E04Rik	0	0	0	0
1110037F02Rik	1452	1568	1745	1686
1110038B12Rik	408	519	752	498
1110038F14Rik	202	238	334	214
1110046J04Rik	66	56	97	83
1110051M20Rik	78	103	111	116
1110058D11Rik	0	0	0	0
1110059E24Rik	353	481	448	453
1110059G10Rik	203	243	166	183
1110065P20Rik	272.42	364.94	494	271.64
1190002F15Rik	14	19	24	8
1190002N15Rik	720	984	974	867
1190003K10Rik	0	0	0	0
1190005I06Rik	48.88	48.45	79.01	24.09
1190007I07Rik	117	154	129	95.72
1200014J11Rik	629	659	770	642
1300002E11Rik	128	190	183	111
1300017J02Rik	1	3	0	0
1500004A13Rik	52.56	57.87	49.61	45.75
1500009C09Rik	0	0	1	0
1500009L16Rik	11	11	11	13
1500011B03Rik	136	115	188	120
1500011K16Rik	266	302	572	259
1500012F01Rik	816	910	1815	884
1500012K07Rik	0	0	0	0
1500015A07Rik	23	21	25	19
1500015L24Rik	0	1	0	0
1500015O10Rik	74	106	227	147
1500017E21Rik	0	5.39	3.23	7.13
1500026H17Rik	2	6	8	3
1600002D24Rik	0	0	0	0
1600002H07Rik	98	76	107	81
1600002K03Rik	85	90	125	78
1600010M07Rik	2	1	6	0
1600012H06Rik	707.52	895.4	882.53	860.23
1600014C10Rik	2103	2530	2688	1789
1600014C23Rik	1	2	6	5
1600014K23Rik	0	0	0	0
1600015I10Rik	0	0	0	0
1600019K03Rik	0	0	0	0
1600020E01Rik	41	45	55	35
1600023N17Rik	1	1	0	1
1600025M17Rik	0	0	1	0
1600027J07Rik	0	1	0	0
1600029I14Rik	0	0	0	0
1600029O15Rik	12	9	11	9
1700001C02Rik	0	1	0	1
1700001C19Rik	1	2	4	4
1700001D01Rik	0	0	0	0
1700001F09Rik	0	0	0	0
1700001G01Rik	0	0	0	0
1700001G11Rik	14.06	11.02	4.05	4.01
1700001G17Rik	6	1	9	3
1700001J03Rik	3	5	4	5
1700001J11Rik	0	0	0	0
1700001K19Rik	2	2	1	2
1700001K23Rik	0	2	2	2
1700001L05Rik	68	91	82	106
1700001L19Rik	1	0	2	0
1700001O22Rik	7	8	9	6
1700001P01Rik	0	0	0	0
1700003C15Rik	0	0	0	0
1700003D09Rik	1	0	1	0
1700003E16Rik	8	5	9	6
1700003E24Rik	0	0	0	0
1700003F12Rik	34	29	175	59
1700003G13Rik	0	0	0	0
1700003G18Rik	0	0	0	0
1700003H04Rik	0	0	0	0
1700003I22Rik	0	0	0	0
1700003L19Rik	0	0	0	0
1700003M02Rik	0	0	2	0
1700003M07Rik	2	0	0	0
1700003P14Rik	0	0	0	0
1700006A11Rik	0	0	0	0
1700006E09Rik	0	0	0	0
1700006F04Rik	0	1	0	0
1700006H21Rik	0	0	0	0
1700007B14Rik	1	1	0	0
1700007F19Rik	0	0	0	0
1700007G11Rik	0	0	0	2
1700007J10Rik	7.29	4.12	2.04	4.2
1700007K09Rik	0	2	0	0
1700007K13Rik	6	7	5	7
1700007L15Rik	18	26	39	13
1700007P06Rik	0	0	0	0
1700008C04Rik	0	0	0	0
1700008J07Rik	41.89	45.02	43.42	40.67
1700008K24Rik	0	0	0	0
1700008O03Rik	2	0	0	0
1700008P02Rik	0	0	0	0
1700009C05Rik	0	3	0	0
1700009J07Rik	0	0	0	0
1700009N14Rik	0	2	2	1
1700010B08Rik	0	0	0	0
1700010D01Rik	0	0	0	0
1700010I02Rik	0	0	0	0
1700010I14Rik	11	9	11	18
1700010J16Rik	0	0	0	0
1700010K23Rik	0	0	1.7	0
1700011A15Rik	0	0	1	0
1700011B04Rik	0	0	0	0
1700011C11Rik	0	0	0	0
1700011E24Rik	0	0	0	0
1700011H14Rik	0	0	0	1
1700011I03Rik	0	0	0	0
1700011L22Rik	0	0	0	0
1700011M02Rik	0	0	0	0
1700012A03Rik	0	0	0	0
1700012B07Rik	0	0	0	0
1700012B09Rik	0	0	0	0
1700012C14Rik	0	0	0	0
1700012D01Rik	20	19	35	24
1700012D14Rik	2	1	1	1
1700012D16Rik	0	0	0	0
1700012H19Rik	0	0	0	0
1700012I11Rik	0	0	0	0
1700012L04Rik	0	0	0	0
1700012P22Rik	0	0	0	0
1700013D24Rik	0	0	1	0
1700013F07Rik	0	0	0	0
1700013G24Rik	0	0	0	0
1700013H16Rik	0	0	0	0
1700015E13Rik	0	2	2	0
1700015F17Rik	0	1	0	0
1700015G11Rik	0	0	0	0
1700016C15Rik	0	0	0	0
1700016D06Rik	0	0	0	0
1700016G22Rik	0	0	0	0
1700016H13Rik	0	0	3	0
1700016K19Rik	0	0	0	0
1700016L04Rik	1	0	0	0
1700016L21Rik	0	0	0	0
1700016P04Rik	0	0	0	0
1700017B05Rik	842	927	921	915
1700017D01Rik	0	0	0	0
1700017G19Rik	0	0	0	0
1700017J07Rik	0	0	0	0
1700017L05Rik	1	0	0	0
1700017N19Rik	0	0	0	1
1700018A04Rik	0	0	0	0
1700018B08Rik	0	0	0	0
1700018B24Rik	0	0	0	0
1700018C11Rik	1	0	0	0
1700018F24Rik	0	0	0	0
1700018G05Rik	0	0	0	0
1700018L02Rik	72.16	68.63	143.5	64.82
1700019A02Rik	0	0	0	0
1700019B03Rik	0	1	2	2
1700019B21Rik	0	0	0	0
1700019C18Rik	0	0	0	0
1700019D03Rik	0	2	3	1
1700019E08Rik	0	0	0	0
1700019G17Rik	28	35	39	33
1700019G24Rik	0	0	0	0
1700019L03Rik	20.34	18.64	21.3	12.36
1700019M22Rik	0	0	0	0
1700019N19Rik	0	0	1	0
1700019O17Rik	0	0	0	1
1700020A23Rik	1	0	1	4
1700020D05Rik	3	12	11	10
1700020D14Rik	0	0	0	0
1700020G17Rik	0	0	0	0
1700020I14Rik	1230	1333	1362	1183
1700020L24Rik	137	179	128	133
1700020M21Rik	0	0	0	0
1700020N01Rik	0	0	0	0
1700020N15Rik	0	0	0	0
1700020N18Rik	0	0	0	0
1700021F05Rik	1027	1160	961	768
1700021F07Rik	0	0	0	0
1700021K19Rik	522	603	707	632
1700021N21Rik	0	0	0	0
1700022A21Rik	0	0	0	0
1700022A22Rik	0	0	0	0
