"",gene_symbol,GSM2668081,GSM2668082,GSM2668083,GSM2668084,GSM2668085,GSM2668086,GSM2668087,GSM2668088,GSM2668089
ENSG00000000003,TSPAN6,265.0806,300.3062,331.6881,183.7755,278.5022,254.7605,143.2263,174.3319,202.3253
ENSG00000000005,TNMD,0,0,0,0,0,0,0,0,0
ENSG00000000419,DPM1,537.7681,461.4597,436.1302,416.2508,568.8483,613.1214,374.0965,302.6622,454.057
ENSG00000000457,SCYL3,157.2023,151.5847,196.0139,142.7542,170.0119,196.5995,185.3106,260.9485,183.7584
ENSG00000000460,C1orf112,83.2406,63.1939,50.6896,71.372,161.8204,204.1681,186.2225,127.6457,172.0572
ENSG00000000938,FGR,3.0014,2.9963,1.9936,6.0149,2.999,3.0036,2.9835,0,1.0004
ENSG00000000971,CFH,24.0184,33.911,30.9166,12.0398,10.9911,20.9789,11.017,6.0063,9.0031
ENSG00000001036,FUCA2,1278.5067,1158.236,1171.5772,753.3112,847.5997,944.6092,1066.6709,1019.835,1283.475
ENSG00000001084,GCLC,2915.3188,2240.8665,1728.7437,3020.2496,3101.7467,2474.0851,458.1627,397.8691,531.7364
ENSG00000001167,NFYA,634.6016,494.8442,365.2603,471.0055,641.1747,591.2782,210.9607,205.4281,323.1503
ENSG00000001460,STPG1,664.989,587.6693,616.7334,594.4533,606.4972,557.8651,631.0995,722.8489,671.0185
ENSG00000001461,NIPAL3,3382.2458,3157.026,3003.2093,2046.0898,2074.4847,2006.4119,2459.4714,3180.493,2700.1553
ENSG00000001497,LAS1L,1832.4872,1653.0038,1530.1335,1703.5887,2042.6824,2546.1889,2640.378,2265.5736,2538.9893
ENSG00000001561,ENPP4,20.0346,30.8919,24.838,4.024,8.9825,14.9699,5.0269,6.0164,1.0005
ENSG00000001617,SEMA3F,11754.181,9741.2475,7412.0756,14844.6307,12533.6328,10711.0333,7481.6222,7500.0091,7422.4734
ENSG00000001626,CFTR,7.9955,13.3226,15.0452,3.8889,7.0673,5.9967,12.0005,24.3722,18.6167
ENSG00000001629,ANKIB1,1167.8801,899.1396,631.3354,754.4028,998.2023,839.497,285.4012,298.6825,360.1355
ENSG00000001630,CYP51A1,4255.2614,3486.0012,3038.528,3212.2142,4040.5207,4091.1127,3210.3944,2928.9626,3874.3679
ENSG00000001631,KRIT1,406.6683,331.7776,306.2837,311.8875,389.1159,448.6538,292.9039,356.6652,340.842
ENSG00000002016,RAD52,199.9638,154.8021,130.642,226.2154,240.2077,216.5009,115.7417,122.6264,108.287
ENSG00000002330,BAD,2596.4583,2409.9173,2283.6722,3111.9903,2693.7169,2654.5019,4701.6481,4847.8726,4305.4157
ENSG00000002549,LAP3,2077.6711,1963.1822,1778.2172,1390.7289,1701.8939,1979.9021,905.0281,714.8433,995.3555
ENSG00000002586,CD99,3010.3846,2514.4864,2140.0228,2987.8955,2777.6836,2624.0948,1506.9359,1386.3037,1762.3032
ENSG00000002587,HS3ST1,998.9218,733.035,753.7963,696.4248,815.8995,876.3582,660.9109,499.4292,713.8974
ENSG00000002726,AOC1,7.0543,8.0029,6.0102,5.0352,5.0615,4.0447,5.9908,6.0017,6.1216
ENSG00000002745,WNT16,4.0029,2.9919,2.9979,0,1.0006,0,0,3.9983,4.0012
ENSG00000002746,HECW1,5.6437,5.1447,9.523,3.0048,4.8585,5.3445,15.082,19.8211,16.9523
ENSG00000002822,MAD1L1,1671.5382,1467.3171,1548.5893,1524.5929,1497.4674,1650.5209,2687.8288,2536.4143,2493.4586
ENSG00000002834,LASP1,19423.794,16720.8331,14003.2609,10287.8809,13427.02,14616.3624,9070.0798,6536.3192,10012.2496
ENSG00000002919,SNX11,915.5758,896.0954,808.9175,665.441,760.3472,881.3742,833.5688,731.2064,924.3639
ENSG00000002933,TMEM176A,0,1.0044,2.0184,0.9939,1.0021,1.0025,4.9784,3.9916,1
ENSG00000003056,M6PR,2562.7501,2540.7534,2097.952,1834.7235,2574.7913,2913.962,1631.843,1236.5996,1709.4104
ENSG00000003096,KLHL13,347.0687,277.2187,218.84,230.0346,416.0308,509.5494,137.498,79.1819,174.2349
ENSG00000003137,CYP26B1,77.0363,75.7989,76.6361,55.2006,114.8614,140.8073,42.1808,30.0426,59.0168
ENSG00000003147,ICA1,226.3368,183.8749,190.543,166.4761,148.1443,113.347,152.5885,126.8226,149.4983
ENSG00000003249,DBNDD1,1756.1243,1564.8716,1379.5975,782.1171,853.3377,1006.4601,506.8217,476.9452,558.059
ENSG00000003393,ALS2,931.8298,769.5273,672.1258,499.3719,902.344,972.1316,387.1055,298.5086,500.1438
ENSG00000003400,CASP10,163.4386,164.4039,178.0037,116.2149,156.5592,126.0815,84.5062,129.2289,99.1883
ENSG00000003402,CFLAR,4000.9415,2995.3911,2845.5483,3022.1802,2460.0069,2089.4693,1891.5618,2328.5676,2187.3322
ENSG00000003436,TFPI,86.8605,101.7939,114.8731,52.8444,73.6216,78.2886,116.8806,165.1727,113.6711
ENSG00000003509,NDUFAF7,217.9977,176.8891,170.6481,192.2334,236.008,256.4284,132.7294,151.8596,150.755
ENSG00000003756,RBM5,2954.0033,2577.9661,2382.1944,2533.1163,2751.8142,2804.3237,1695.6689,1644.9317,1944.4605
ENSG00000003987,MTMR7,14.0828,6.4394,11.6957,6.7322,6.9885,17.3968,10.8844,15.4086,21.3506
ENSG00000003989,SLC7A2,0,0,2.9769,5.0348,0.999,0.999,5.1166,2.0032,6.0033
ENSG00000004059,ARF5,8748.5524,7595.3815,7207.737,10130.7022,8797.4942,8452.6061,7848.6867,7784.025,8245.8918
ENSG00000004139,SARM1,293.8588,296.9874,275.4213,179.4609,122.5825,193.1763,197.4248,182.9508,255.7531
ENSG00000004142,POLDIP2,4251.4159,3951.2826,3767.8965,4222.7636,4207.178,4630.0868,4622.0782,4103.9911,4808.8536
ENSG00000004399,PLXND1,163.1636,135.58,126.5756,249.2512,271.6415,262.5407,79.141,75.8764,116.0169
ENSG00000004455,AK2,3817.4396,3667.4945,3145.7062,3384.2079,4291.1398,5018.4857,3087.223,2559.1286,3400.5284
ENSG00000004468,CD38,2.0054,5.0095,5.0235,1.0064,4.0526,3.1141,6.1103,13.4005,9.0537
ENSG00000004478,FKBP4,8632.4648,6827.6038,5957.407,10629.4818,10336.4815,11017.8275,10913.8117,9224.6642,10237.9222
ENSG00000004487,KDM1A,3011.362,2568.0262,2228.5406,2795.7784,3440.3272,3971.1934,2497.7958,2321.4788,2630.998
ENSG00000004534,RBM6,2059.2461,1684.9562,1406.4085,1807.5135,1976.8214,2068.8986,1532.5312,1647.834,1583.3117
ENSG00000004660,CAMKK1,281.4923,268.2584,223.0691,538.9176,386.4535,416.5954,238.5708,246.1725,271.3957
ENSG00000004700,RECQL,660.2203,517.2362,404.6453,416.0188,750.2417,710.9849,260.9119,196.3643,330.5359
ENSG00000004766,VPS50,206.2485,190.2492,165.7904,101.7697,157.2414,171.9974,86.5857,92.8426,82.4486
ENSG00000004776,HSPB6,5.9993,14.0167,1.5816,3.2202,3.1843,1.9997,6.003,6.0018,3.0008
ENSG00000004777,ARHGAP33,98.9471,105.0423,84.8887,147.2517,186.8913,238.7994,160.3452,182.3034,195.0323
ENSG00000004779,NDUFAB1,1396.628,1257.3815,1288.7283,1793.315,1565.3571,1813.2192,1555.5963,1232.8874,1539.2257
ENSG00000004799,PDK4,24.0171,23.9487,31.8324,2.0104,5.0007,8.9974,5.0199,7.0169,1.0005
ENSG00000004809,SLC22A16,10.0002,2.9986,12.9938,2.0026,3.9983,1.9994,21.0341,52.0458,39.0127
ENSG00000004838,ZMYND10,9.0737,8.2718,12.0274,16.0128,16.7049,14.3744,15.4473,31.8315,20.8078
ENSG00000004846,ABCB5,7.0165,7.0369,6.2302,3.0921,8.2071,10.2554,24.8819,37.0402,13.1665
ENSG00000004848,ARX,2.0023,1.9951,0.9974,2.0091,0,2.9996,8.0887,11.115,2.0009
ENSG00000004864,SLC25A13,1041.1976,872.3039,794.1565,510.3133,943.6894,1199.3305,575.5126,364.8001,585.2628
ENSG00000004866,ST7,253.3047,274.1561,286.0255,150.374,259.1894,302.1151,255.9904,264.4666,309.8775
ENSG00000004897,CDC27,726.8897,632.949,545.1292,413.3741,773.5249,818.5369,494.3821,485.9239,566.0573
ENSG00000004939,SLC4A1,15.156,14.7238,14.9684,13.4408,9.3354,9.2644,48.7806,64.6374,41.247
ENSG00000004948,CALCR,0,0,0,0,0,0,0,1.0003,0
ENSG00000004961,HCCS,792.0104,678.1338,633.3463,521.6991,693.5282,801.8296,629.1515,544.7339,765.133
ENSG00000004975,DVL2,885.648,627.9174,586.1762,1645.1735,1652.9823,1713.9251,1039.0768,855.5611,1235.5006
ENSG00000005001,PRSS22,174.1263,172.746,239.5447,65.2169,70.9657,132.822,619.8744,665.7659,885.8796
ENSG00000005007,UPF1,7049.7308,6817.5024,5811.1088,6056.4046,6305.2334,6999.2692,4972.6256,4083.8114,5215.5496
ENSG00000005020,SKAP2,578.9793,559.6005,543.0028,338.7111,438.0621,452.2676,565.4342,643.722,561.4885
ENSG00000005022,SLC25A5,5744.1388,5540.6312,5321.175,10375.1727,9967.0716,10881.1658,8104.6504,6996.347,9116.5038
ENSG00000005059,MCUB,180.8702,152.3321,142.1809,282.8379,346.4588,379.4474,298.1697,253.6768,350.9799
ENSG00000005073,HOXA11,20.0851,10.9838,20.9479,3.2588,5.9945,8.9916,4.0115,11.0163,12.0046
ENSG00000005075,POLR2J,1262.9564,1223.1694,1307.9821,1490.765,1462.2237,1565.8595,2785.7561,2749.4811,2518.2728
ENSG00000005100,DHX33,915.4176,734.6664,684.3037,747.9932,1058.2592,1243.0744,2049.5628,2872.9321,1860.7973
ENSG00000005102,MEOX1,0,0,0,0.9972,1.0009,1.9981,0,4.0079,0
ENSG00000005108,THSD7A,0,2.0654,1.9835,0,0,2.9925,1.0065,0,0
ENSG00000005156,LIG3,727.8235,608.5314,548.7809,1072.2978,1240.4875,1266.1104,768.9647,583.1956,725.4889
ENSG00000005175,RPAP3,224.1687,190.8064,193.4152,202.4573,219.0669,281.3541,235.1322,279.9192,243.3472
ENSG00000005187,ACSM3,11.6928,4.136,13.5566,12.6436,7.1583,16.0273,12.3993,12.9999,11.6446
ENSG00000005189,LOC81691,49.1041,54.4956,33.1422,141.5446,142.9558,135.0559,110.3539,114.9288,121.5668
ENSG00000005194,CIAPIN1,1762.5721,1579.082,1612.2689,1133.2106,1510.6808,1819.0323,1501.501,1454.689,1696.4687
ENSG00000005206,SPPL2B,3126.052,2815.2325,2570.0663,2589.9544,2489.5019,2478.7418,1729.5047,1730.9737,1787.5669
ENSG00000005238,FAM214B,5197.4804,4074.4069,3276.6928,2859.1208,3535.2397,2891.1266,1942.8444,1958.9025,2304.0196
ENSG00000005243,COPZ2,1277.8835,1169.5106,1186.2942,500.4871,501.8529,438.6287,507.2207,603.2572,639.9623
ENSG00000005249,PRKAR2B,1.0015,0.9969,5.9745,0,0.9983,0.9982,4.0196,2.005,2.001
ENSG00000005302,MSL3,600.1769,494.3204,475.1259,415.8105,510.9128,574.5253,492.7797,468.5963,512.285
ENSG00000005339,CREBBP,1833.9804,1744.2377,1396.3258,1054.4906,1670.8829,1888.6509,1118.9314,1082.15,1263.8307
ENSG00000005379,TSPOAP1,12.0793,9.0044,8.9575,9.0798,7.0177,6.0263,11.0678,10.1711,16.0251
ENSG00000005381,MPO,2.0026,0.9973,0.995,1.0048,1.9969,0,0,2.0045,3.0014
ENSG00000005421,PON1,0,0,0,0,0,0,0,0,0
ENSG00000005436,GCFC2,115.0658,98.9715,105.4152,118.5721,152.2095,245.828,143.6749,195.6231,158.8808
ENSG00000005448,WDR54,1045.3603,1163.1208,1149.6354,1760.4331,1604.5801,1549.6253,1884.0059,1863.1086,1847.5958
ENSG00000005469,CROT,388.3304,424.9581,472.8063,196.8539,285.5816,266.6253,214.8989,243.5243,273.1207
ENSG00000005471,ABCB4,1.0015,0,0,2.0109,1.9966,0,4.9537,0,0.9998
ENSG00000005483,KMT2E,728.5672,678.4028,678.3768,673.8389,918.47,884.2119,902.9893,1066.4996,934.0173
ENSG00000005486,RHBDD2,3106.4437,3050.8874,2979.967,2531.944,2312.7554,2531.9463,2287.3639,2516.5271,2374.6531
ENSG00000005513,SOX8,83.1179,69.7879,71.6274,79.3935,41.9286,37.9335,4.0172,1.0022,6.003
ENSG00000005700,IBTK,318.9462,263.0891,216.6705,244.3822,339.4712,319.7344,195.2468,149.6213,204.8847
ENSG00000005801,ZNF195,246.4397,222.8695,202.1503,155.7895,213.5583,238.386,168.1639,210.0093,207.4213
ENSG00000005810,MYCBP2,856.6204,821.8399,769.1349,586.6037,801.6517,918.3655,1319.5112,1655.2105,1118.0461
ENSG00000005812,FBXL3,381.078,345.7096,272.3939,254.9312,407.6333,368.6846,192.6652,209.4485,239.4914
ENSG00000005844,ITGAL,11.9537,10.6465,8.9866,6.3697,11.6242,4.3201,19.6472,26.1865,22.8606
ENSG00000005882,PDK2,424.6876,434.5948,434.6427,354.6239,347.8325,311.8164,171.0842,200.9138,206.2529
ENSG00000005884,ITGA3,120943.3669,95870.0967,73364.5732,82446.3074,102768.2063,90871.5377,51034.4513,45397.8887,55750.9366
ENSG00000005889,ZFX,479.633,430.9108,401.4066,259.7207,460.4635,462.4882,228.009,226.4209,302.929
ENSG00000005893,LAMP2,5874.9374,5326.5688,5185.7419,2502.4396,3687.626,3656.5563,1462.16,1355.8343,1924.1781
ENSG00000005961,ITGA2B,6.0081,15.06,6.0543,24.8612,23.0394,20.2425,14.1256,29.6065,19.3534
ENSG00000005981,ASB4,3.0046,1.9937,4.9791,7.038,4.9912,3.4628,4.2941,8.2359,6.0029
ENSG00000006007,GDE1,1719.9414,1685.9401,1713.149,1429.9749,1396.2023,1738.6148,1730.3557,1843.0124,1871.4831
ENSG00000006015,C19orf60,2760.1028,2791.9963,2488.5353,3923.5369,3016.0427,3384.5532,6005.4292,6439.7202,5427.845
ENSG00000006016,CRLF1,384.0853,327.6872,270.8117,351.2246,315.6541,385.2447,130.3053,103.0059,149.4585
ENSG00000006025,OSBPL7,164.1967,178.6721,200.9877,249.8684,228.6597,220.7002,115.4026,123.2745,115.0238
ENSG00000006042,TMEM98,1202.4837,1169.065,1186.9707,514.7741,752.6639,994.3822,602.3254,527.018,692.3928
ENSG00000006047,YBX2,4.9969,8.9882,15.0425,51.9769,46.0036,40.0243,13.0273,10.0062,9.9953
ENSG00000006059,KRT33A,0,0,0,0,0,0,0,0.9998,0
ENSG00000006062,MAP3K14,561.0992,547.1316,548.1111,364.1426,531.3642,766.1252,744.0807,685.5112,679.039
ENSG00000006071,ABCC8,0,0,0,0,0,0.9979,0,0,1.0004
ENSG00000006116,CACNG3,0,0.9974,0,1.0047,0,0,0,1.0022,0
ENSG00000006118,TMEM132A,17514.4188,15551.7364,13995.8817,8971.3968,9172.6285,9219.4547,6154.7129,6210.1127,7292.3895
ENSG00000006125,AP2B1,8311.4659,7451.2124,6607.0024,5386.3053,7605.2826,7855.4545,5077.1198,4850.7084,5613.6291
ENSG00000006128,TAC1,0,0,0,0,0,0,0.9849,0,0
ENSG00000006194,ZNF263,984.8116,882.0037,677.3796,655.5117,750.0926,829.3639,685.9035,666.8699,751.5833
ENSG00000006210,CX3CL1,1676.9628,1650.6879,1340.8226,1392.8373,1362.1029,1299.101,483.1786,514.0359,506.0469
ENSG00000006282,SPATA20,6224.611,5213.5481,4314.3966,5794.4089,4876.7287,4072.8478,2643.7325,2446.6046,2849.7729
ENSG00000006283,CACNA1G,8,11.2736,8.1641,5.0348,7.9909,7.9862,14.367,23.5287,17.0497
ENSG00000006327,TNFRSF12A,16059.7344,14481.0131,13267.8311,14820.0791,14662.8209,15201.5572,14203.9854,12693.1274,16417.6046
ENSG00000006377,DLX6,3.1404,2.1652,0.997,3.1649,2.9968,3.1421,2.1673,8.3328,1.3879
ENSG00000006432,MAP3K9,2377.2264,1993.4617,1757.768,976.3536,1445.0916,1426.8526,1683.3186,1814.7223,1679.7534
ENSG00000006451,RALA,1543.7183,1353.6711,1185.5359,1132.1194,1380.7453,1428.8786,1179.9823,1212.6296,1255.3203
ENSG00000006453,BAIAP2L1,4120.2593,3837.8823,3561.574,3432.406,3341.9932,3261.98,2943.8572,2907.0601,3084.9949
ENSG00000006459,KDM7A,187.4522,130.6321,95.7878,202.8433,223.5371,189.6302,66.3887,66.8457,84.0469
ENSG00000006468,ETV1,53.0431,63.9059,51.6861,44.9542,104.9593,102.8835,49.2646,53.1024,40.0194
ENSG00000006530,AGK,306.125,227.9166,259.8727,349.1741,440.2623,477.0992,212.0541,168.33,263.8646
ENSG00000006534,ALDH3B1,1022.2169,934.6644,936.8104,940.0344,957.2632,799.0027,369.1013,388.0008,392.9501
ENSG00000006555,TTC22,875.9807,797.0158,636.3838,1138.4768,906.9827,892.0819,370.4942,362.7919,506.3094
ENSG00000006576,PHTF2,181.3314,126.6335,158.0132,180.0356,305.5821,275.5432,195.0653,186.8277,204.1583
ENSG00000006606,CCL26,0.9953,2.0326,1.0218,0.9805,0,2.0162,0.9851,1.9867,0
ENSG00000006607,FARP2,1662.3019,1548.3583,1206.1224,802.776,1280.8255,1593.3342,890.3401,866.7261,934.1703
ENSG00000006611,USH1C,0,0,0,0,0,0,0,0,0
ENSG00000006625,GGCT,741.9704,765.8311,709.7183,1033.8269,1005.7328,1173.6379,898.1468,729.2195,959.1438
ENSG00000006634,DBF4,76.7435,57.1175,56.2989,129.1395,201.1223,252.3651,134.7458,126.693,165.6796
ENSG00000006638,TBXA2R,16.3129,31.0315,24.925,14.6676,22.0415,32.9498,55.0839,84.9027,62.5444
ENSG00000006652,IFRD1,417.1048,358.3345,286.8965,397.429,387.7016,420.7674,308.6211,234.8962,437.8733
ENSG00000006659,LGALS14,0.996,1.007,7.0952,0.9903,2.0067,1.0994,1.0169,3.9861,8.9022
ENSG00000006695,COX10,397.112,360.8676,271.6997,524.7295,515.1614,538.6342,346.2178,278.564,351.8674
ENSG00000006704,GTF2IRD1,1278.4994,1040.5365,790.4375,1481.7763,1413.7091,1250.04,619.6438,553.5288,674.9704
ENSG00000006712,PAF1,2546.2414,2432.8062,2426.6659,2041.2169,2505.9664,2905.7873,4145.146,4187.8227,4099.5322
ENSG00000006715,VPS41,792.6415,752.0775,682.3787,435.1306,580.7185,636.1779,344.7892,334.717,407.1735
ENSG00000006740,ARHGAP44,78.1692,60.8774,75.975,45.9846,53.2668,62.1115,95.6435,95.2085,92.9866
ENSG00000006744,ELAC2,5312.2097,4746.1473,4229.6431,4535.7095,4551.8054,5377.2512,5308.5571,4282.0665,5353.6586
ENSG00000006747,SCIN,32.3148,15.3267,25.0149,22.4151,24.2007,24.3632,63.3241,74.1549,46.1939
ENSG00000006756,ARSD,876.5106,783.1165,743.2263,488.0323,490.3318,458.1968,466.6411,527.5541,480.7494
ENSG00000006757,PNPLA4,693.6114,591.8749,586.1399,796.4035,751.2228,748.5839,589.3454,601.3736,651.7642
ENSG00000006788,MYH13,0,0,0,0,0,0,0,0,0
ENSG00000006831,ADIPOR2,2866.4986,2771.0392,2598.4264,2145.8574,2574.3712,2701.0685,1896.293,1671.22,2341.1316
ENSG00000006837,CDKL3,28.5323,15.4218,21.0162,26.0347,26.1008,17.2163,9.6204,18.6816,12.8223
ENSG00000007001,UPP2,2.0017,0,2.9897,1.0031,0.9988,0,0,0,0
ENSG00000007038,PRSS21,107.7504,109.9749,98.7418,57.2341,51.6349,58.1244,110.11,100.8395,133.9758
ENSG00000007047,MARK4,4805.7836,4035.1984,3317.7579,4362.2009,4031.0883,3673.6718,1990.7653,1922.6488,2326.0405
ENSG00000007062,PROM1,133.3065,97.9278,113.9035,29.0851,41.0063,50.0491,43.1731,33.0141,59.0853
ENSG00000007080,CCDC124,5080.3332,4798.4803,5120.5583,5215.7663,4965.5949,5418.4747,11429.6628,11661.9119,10810.3797
ENSG00000007129,CEACAM21,0.4965,0,0,0.9884,0,0,0.9968,0,0
ENSG00000007168,PAFAH1B1,4378.3431,3810.3749,3260.415,2621.5322,3626.1536,3694.0897,2118.1022,1902.8646,2545.293
ENSG00000007171,NOS2,1.0014,0.9972,3.9792,0,0,0,1.0046,1.0023,0
ENSG00000007174,DNAH9,3.1677,5.2698,9.3001,5.0237,3.9938,6.2915,8.4411,12.6468,4.837
ENSG00000007202,KIAA0100,9360.7746,7642.0315,6450.1809,4594.3864,6472.3647,7867.3102,6126.3349,5429.3041,6517.2356
ENSG00000007216,SLC13A2,11.0102,10.9804,9.9691,5.0205,4.9999,6.998,1.0033,1.0016,3.0012
ENSG00000007237,GAS7,84.024,80.1693,80.5442,41.1976,45.1732,55.9491,69.676,71.4534,86.7699
ENSG00000007255,TRAPPC6A,342.439,305.3959,335.9908,519.4221,319.2829,302.2914,297.7345,371.5662,314.8587
ENSG00000007264,MATK,5.2731,5.1007,5.4938,10.5679,6.0089,15.0007,8.1091,8.1391,2.9975
ENSG00000007306,CEACAM7,0.9934,0,1.0219,0,0,0,0,0,0
ENSG00000007312,CD79B,12.9812,12.0239,8.0334,42.8829,15.0101,13.0136,52.9332,58.9746,46.0097
ENSG00000007314,SCN4A,0,0,0,0,0,0,0,1.0031,0
ENSG00000007341,ST7L,161.848,170.2079,164.5455,179.7791,169.9276,219.8619,164.142,170.3837,174.8986
ENSG00000007350,TKTL1,0,0,0,0,0,0,0,0,0
ENSG00000007372,PAX6,4.9981,9.1341,7.9586,6.0408,7.9918,8.9946,11.008,27.1926,15.0258
ENSG00000007376,RPUSD1,2472.7301,2421.3745,2403.8772,1963.07,1925.863,2531.4435,4307.5881,3958.0091,4183.4927
ENSG00000007384,RHBDF1,3282.7116,2446.0583,2086.8064,3006.1403,2766.8133,2576.1559,1128.3609,973.9225,1354.4478
ENSG00000007392,LUC7L,1503.0073,1466.0883,1370.1644,1710.8449,1475.2208,1600.4484,2107.6046,2012.7904,2031.643
ENSG00000007402,CACNA2D2,42.0628,42.9598,30.9345,89.7016,56.3534,43.2242,13.1621,16.0846,14.0065
ENSG00000007516,BAIAP3,621.7424,627.9342,401.822,84.5164,112.3353,162.8102,102.3778,73.4822,86.8714
ENSG00000007520,TSR3,3961.7629,3699.1555,3654.9395,4416.1174,3667.1756,4255.0835,6841.0092,6571.5611,6513.3708
ENSG00000007541,PIGQ,3621.054,3247.4218,3127.9469,3059.3845,3053.5656,3357.1001,3679.7853,4024.4724,3488.5693
ENSG00000007545,CRAMP1,991.3348,871.8902,641.3521,769.9181,962.7937,1047.6147,472.8836,384.0748,524.7187
ENSG00000007866,TEAD3,2290.4056,1980.1362,1594.8256,2332.1072,2088.1204,2045.1557,1269.1577,1108.2572,1440.6411
ENSG00000007908,SELE,0,0,0,0,0,0,0,0,0
ENSG00000007923,DNAJC11,3688.0007,3416.5052,2993.3139,2596.356,3334.4685,4232.0868,2924.5019,2410.0268,2806.7664
ENSG00000007933,FMO3,11.9238,13.7321,6.8479,18.9191,12.7862,17.4114,29.5118,45.5468,29.9193
ENSG00000007944,MYLIP,39.0176,46.9447,58.8473,34.0661,34.9764,56.9676,22.0671,23.0396,22.0091
ENSG00000007952,NOX1,0,0,0.9966,0,1.0044,0,0.9899,2.0035,1.0004
ENSG00000007968,E2F2,41.3101,29.681,32.8977,55.6794,70.3773,124.7349,169.7335,196.2349,155.6584
ENSG00000008018,PSMB1,3874.5247,3598.6596,3917.1881,4434.1258,4374.7933,4598.1767,5124.0691,5213.1327,5456.0429
ENSG00000008056,SYN1,22.0284,17.9512,14.9256,46.22,40.936,35.9436,25.1104,37.083,29.0135
ENSG00000008083,JARID2,1837.483,1561.9627,1111.1371,1272.0783,1843.1371,1706.3084,963.3837,838.423,930.4906
ENSG00000008086,CDKL5,230.3368,188.1746,201.1367,164.2047,204.4486,157.0535,149.881,190.6282,177.2269
ENSG00000008118,CAMK1G,16.9803,15.1108,4.9873,4.0144,10.0013,13.0026,4.9977,2.0006,13.9873
ENSG00000008128,CDK11A,1560.304,1509.2261,1253.1662,1517.1698,1528.0534,1748.656,3523.2989,4055.0398,3280.8856
ENSG00000008130,NADK,4159.1344,3649.9981,3305.3606,2832.1863,3346.92,3712.0181,2918.014,2417.9703,3002.1467
ENSG00000008196,TFAP2B,51.0392,55.8615,39.7806,27.1175,30.9595,31.9595,120.6547,156.4436,155.0772
ENSG00000008197,TFAP2D,0,0,0,0,0,0,0,0,0
ENSG00000008226,DLEC1,22.6611,21.7308,7.5487,15.4501,6.2831,26.272,31.8663,30.2155,8.3407
ENSG00000008256,CYTH3,3051.4341,2532.0063,2106.8776,1632.6297,2060.5782,2054.4511,1091.6768,893.2888,1332.6464
ENSG00000008277,ADAM22,5.0109,2.9872,2.9759,3.0183,1.996,5.9853,7.0446,7.0207,6.0029
ENSG00000008282,SYPL1,1364.7554,1141.8223,1018.6724,1225.2606,1574.604,1626.6965,633.8497,597.8506,798.5579
ENSG00000008283,CYB561,3948.1681,3345.0124,2987.7845,2701.7752,2863.7394,3403.1779,2591.3354,2457.1931,2850.0223
ENSG00000008294,SPAG9,2356.7734,1796.948,1405.0368,1617.4805,2132.1374,1896.4878,960.5563,862.0939,1076.9009
ENSG00000008300,CELSR3,116.2386,108.6548,58.5543,99.6449,85.8305,90.7848,40.2179,34.103,43.0226
ENSG00000008311,AASS,46.237,30.4388,38.6956,105.1499,138.1263,104.9631,56.976,54.4383,63.2662
ENSG00000008323,PLEKHG6,521.6078,355.6222,268.4686,1153.3118,684.4964,481.2063,269.2217,273.8281,300.4124
ENSG00000008324,SS18L2,174.4502,156.6772,149.5437,184.9175,213.0954,244.6115,240.6036,223.582,268.9209
ENSG00000008382,MPND,607.412,560.3166,540.7134,757.085,704.9082,726.2244,668.4687,684.4795,728.3648
ENSG00000008394,MGST1,2811.407,2475.6937,3011.4068,2467.7752,3019.5923,2970.9887,2078.0514,2151.6786,2649.9045
ENSG00000008405,CRY1,242.0492,172.96,129.3326,145.4479,217.8173,231.8516,95.2918,70.1603,162.0697
ENSG00000008438,PGLYRP1,9.9549,13.1069,7.1082,7.9097,9.0362,6.0271,1.9832,2.9878,0.9995
ENSG00000008441,NFIX,7390.7279,7259.5328,6103.9549,6032.2717,7112.3228,8232.7574,10491.6197,12506.5384,9370.8782
ENSG00000008513,ST3GAL1,2681.784,2586.3738,2434.6727,1037.1548,1720.9053,1393.9288,1146.4482,1289.4955,1104.9015
ENSG00000008516,MMP25,420.7925,334.5332,273.6263,427.6248,260.0107,283.0587,70.4125,71.3525,95.4125
ENSG00000008517,IL32,1566.8685,1540.9013,2370.3146,439.6009,418.1671,427.2597,848.9887,929.1982,1042.2134
ENSG00000008710,PKD1,7244.109,6433.6719,4991.1196,4985.9543,5545.6118,5414.5135,4009.6284,3970.1091,3977.9894
ENSG00000008735,MAPK8IP2,761.0726,672.842,562.0622,379.2356,309.6826,321.9673,115.1119,106.3518,78.2062
ENSG00000008838,MED24,3148.6519,2762.0845,2695.8055,3322.2732,3476.1075,3797.7753,3723.2707,3310.1294,3898.6433
ENSG00000008853,RHOBTB2,1575.6474,1205.9843,1065.4793,1226.5237,1443.6659,1513.3624,1890.9776,1521.4549,1939.8948
ENSG00000008869,HEATR5B,490.9067,416.4401,294.8682,374.385,496.9077,504.884,179.2695,182.6404,241.0961
ENSG00000008952,SEC62,2189.9619,2295.4944,2584.7206,1471.4545,1790.1037,2153.3374,3485.6767,4042.9228,3581.6238
ENSG00000008988,RPS20,13090.9373,12415.5076,13382.4322,17044.4461,16352.5009,16600.3712,17435.6699,17671.5706,18631.2199
ENSG00000009307,CSDE1,10181.5423,9287.7832,8248.0252,7846.0113,9726.6392,9789.295,6143.152,5533.7926,6839.9338
ENSG00000009335,UBE3C,6268.4138,5329.346,4186.7044,3518.5713,4481.1933,4965.3201,2998.2485,2402.1691,3629.9053
