	Pro_1	Pro_2	Pro_3	Sen_1	Sen_2	Sen_3
NM_001270991	0	0	0	0	0	0
NM_001270992	0	0	0	0	0	0
NM_001270993	0	0	0	0	0	0
NR_073114	0	0	0	0	0	0
NR_073117	0	2.03	0	0	0	1.02
NM_005232	1	1	0	0	0	1
NR_033897	0	0	1	2	0	1
NM_001099439	1	0	0	1	0	0
NM_173641	0	0	0	0	0	0
NM_004431	1817	2029	1410	3808	3821	3525
NM_005233	7	15	22	3	0	0
NM_182644	0	0	0	0	0	1
NM_001304536	118.31	118.31	96.45	118.31	39.43	0
NM_001304537	0	0	0	0	0	0
NM_004438	263.69	278.69	169.55	575.69	540.57	537
NM_001281765	0	0	0	0	0	0
NM_001281766	0.29	0.46	0	0.48	0.84	0.18
NM_001281767	1.28	0	1	0	0	1.67
NM_004439	0	0	0	0	0	0
NM_182472	2.02	3.54	0	2.52	6.16	1.15
NR_034138	0.42	0	0	0	0	0
NM_001080448	0	0	0	0	0	0
NM_001278300	0	0	0	0	0	0
NM_001278301	0	0	0	0	0	0
NM_173655	0	0	0	0	0	0
NM_001288629	30	18.45	0	0	0	0
NM_001288630	0	7.55	5.95	0	0	0
NM_004440	0	0	27.05	0	0	0
NM_001006943	0	1	0	0	1	0
NM_020526	0	0	0	0	0	0
NM_004441	0	0	0	1	0	1
NM_001309192	0	0	0	0	0	0
NM_001309193	0	0	0	0	0	0
NM_004442	490.47	259.34	69.02	450.55	0	106.96
NM_017449	2418.53	3363.66	2320.98	1510.45	1692	1432.04
NM_004443	280	239	197	28	13	15
NM_004444	1263	1273	899	740	604	495
NM_001280794	0	0	4	10.77	0	6.24
NM_001280795	0	1	0	0	0	13.76
NM_004445	3	0	0	8.85	0	0
NR_104001	0	0	0	10.39	9	0
NM_000120	0	0	0	0	0	0
NM_001136018	640.98	579.66	431.67	230.82	183.13	207.46
NM_001291163	40.02	50.34	41.33	34.18	12.87	14.54
NM_001256482	0	0	0	0	0	0
NM_001256483	0	0	0	0	0	0
NM_001256484	0	0	0	0	0	0
NM_001979	0	0	0	0	0	0
NM_001142886	0	0	0	0	0	0
NM_024794	0	0	0	0	0	0
NM_173567	108	140	91	310	309	223
NM_001018041	0	0	0	0	0	0
NM_005670	127	112	80	49	46	48
NM_014805	489	502.47	340	723	587	441
NM_001130071	43.12	22.89	19.46	49.4	49.89	51.51
NM_001130072	2253.85	2395.75	1726.8	2632.96	2447.17	2242.67
NM_013333	630.03	740.36	500.74	835.65	960.94	690.82
NM_001102664	0	14.64	13.71	0	21.16	17.12
NM_014964	21.92	0	0	20.28	25.18	18.64
NM_148921	994.08	1086.36	729.29	1439.72	1306.65	1359.24
NR_048576	1	0	0	1	0	0
NR_046824	1	0	0	2	1	6
NM_017957	0	0	0	0	0	0
NM_000799	0	0	0	0	0	0
NM_000121	115.02	134	81.5	137	94.94	114
NR_033663	17.98	0	8.5	0	8.06	0
NM_001302861	0	0	0	0	0	0
NM_020398	0	0	0	0	0	0
NM_001198986	0	0	0	0	0	0
NM_031308	3	5.01	3	0	0	0
NM_004446	4384	4932	3343	4944	6121	4694
NM_001159969	272.46	136.08	178.83	17.62	0	0
NM_001981	1113.54	1308.92	859.17	893.38	896	789
NM_001258374	162.44	200.44	182.35	229.14	165.49	220
NM_001258375	5.86	18.76	0.04	70.21	44.96	57.33
NM_001258376	176.48	213.29	116.66	284.81	284.07	181
NM_021235	9.89	55.09	1.2	157.15	83.97	201.54
NR_047665	119.31	85.42	11.93	116.68	100.58	75.13
NR_047666	32.01	0	89.82	0	96.93	0
NM_004447	868	943	672	97	140	108
NM_017729	21.78	31	17	39	38	29
NM_133180	5.22	0	0	0	0	0
NM_022772	384	411	263	363	343	283
NM_024526	0	0	0	0	0	0
NM_133181	0	0	0	0	0	0
NM_139053	0	0	0	0	0	0
NM_001002264	8.33	0	0	0	0	11
NM_033255	98.67	126	74	8	15	0
NM_033505	657	744	524.98	1269.93	1193	1027
NM_000502	0	2	0	0	0	0
NM_004950	0	0	1	0	0	0
NM_001161585	0	0	0	0	0	0
NM_020641	0	0	0	0	0	0
NM_005702	529	563	403	673	573	465
NM_001040458	280.07	597.95	491.29	90.6	317.9	252.51
NM_001198541	1116.74	919.28	643.41	463.38	287.04	249.77
NM_016442	352.36	321.58	233.95	59.76	60.26	41.12
NM_001130140	271.3	240.44	144.44	387.3	321.15	261.15
NM_022350	25.7	38.56	38.56	25.7	12.85	12.85
NM_181532	0	0	0	0	0	0
NM_001005862	0	102.69	54.94	19.38	12.1	14.11
NM_001289936	0	0	0	0	0	0
NM_001289937	0	0	0	0	0	0
NM_001289938	19.78	8.86	7.78	10.58	8.41	9.48
NM_004448	1497.67	1569.98	1018.29	391.04	402.48	354.41
NR_110535	110.56	42.47	76	0	0	0
NM_001006600	640.52	868.07	477.39	720.8	594.91	663.13
NM_001253697	0	33.15	0	0	34.25	0
NM_001253698	0	0	0	0	0	0
NM_001253699	0	60.46	0	0	0	0
NM_001253701	473.69	350.98	289.6	163.49	184.88	467.19
NM_018695	419.79	390.34	403.02	545.7	750.97	200.68
NM_001005915	0	2.13	0	0	0	0
NM_001982	12	10.87	5	1	0	0
NM_001042599	0	0	2	3	1	1
NM_005235	0	0	0	0	0	0
NM_001301248	178.96	0	0	99.56	0	0
NM_178039	217.41	247.46	415.34	0	164.76	0
NM_178040	808.82	1371.89	687.44	1229.66	1074.55	1179.2
NR_027946	116.52	130.75	90.9	0	0	33.08
NR_027948	160.29	96.9	40.32	179.78	257.69	146.72
NR_027949	0	0	0	0	0	0
NM_015576	5	4	3	4	1	0
NR_024615	0	0	0	0	0	0
NM_001166049	251.38	256.28	212.27	520.26	481.19	500.18
NM_001983	27.19	69.03	12.83	2.72	0	16.86
NM_202001	605.76	599.81	445.23	2144.18	2036.51	2164.14
NM_000400	603.06	690.22	477.49	929.49	695.77	668.43
NM_001130867	73.53	54.55	50.28	58.96	61.32	68.12
NM_000122	416	453.44	314	668	525	428.33
NM_001303416	0	14.56	0	0	0	42.67
NM_001303418	0	0	0	0	0	0
NM_005236	320	338	246	231	242	233
NM_000123	881.28	828.57	570.99	1044.56	881.75	889.28
NM_000124	129.14	154.85	77.48	151.77	152.03	113.45
NM_001277058	0	2.98	28.52	41.09	45.97	49.55
NM_001277059	31.71	36.17	0	0	0	0
NM_017669	75	102	68	9	6	5
NM_001010895	3.57	3.23	0	11.33	15.12	3.23
NM_020207	350.61	361.28	305.31	302.26	272.31	263.05
NM_000082	116.24	114.47	88.86	116.21	66.87	94.68
NM_001007233	6.36	21.71	7.14	0	11.21	0
NM_001007234	0	10.82	0	3.79	24.92	7.98
NM_001290285	8.4	0	0	0	0	17.34
NM_001432	182	281	183	7237	7340	8057
NM_001301035	33.9	0	19.27	22.2	0	22.2
NM_001308402	73.17	45.65	27.46	32.85	61.25	0
NM_006494	549.93	660.35	467.27	1053.95	947.75	871.8
NM_001136154	0	0	0	0	0	0
NM_001136155	0	0	0	0	0	0
NM_001243428	0	0	0	0	0	0
NM_001243429	0	0	0	0	0	0
NM_001243432	0	0	0	0	0	0
NM_001291391	0	0	0	0	1	0
NM_004449	0	0	0	0	0	0
NM_182918	0	0	0	0	0	0
NR_111949	0	0	0	0	0	0
NM_001031711	3015	3636	2533	2391	2375	2326
NM_016570	912	1066	696	948	874	847
NM_015966	3169.68	3205	2283	3375	2943	2762
NM_198398	12.32	0	0	0	0	0
NM_004450	1507	1598	1201	1809	1700	1563
NM_153332	455	464	309	479	420	424
NM_001142725	129.16	163.71	119.89	71.95	72	58
NM_080663	0	5.29	0	4.05	0	0
NM_001301698	41.4	23.07	0	30.94	0	0
NM_001301699	184.5	165.79	187.72	230.93	181.37	250.14
NM_001301700	35.01	19.55	0	29.19	42.85	0
NM_001301701	57.2	135.31	45.55	32.47	61.12	24.77
NM_024066	160.89	184.28	136.73	291.47	288.67	277.09
NR_046817	0	0	0	0	0	0
NR_110056	4	3	2	3	1	3
NM_001303100	3.66	1.88	3.7	0	0	0
NM_207332	216.34	231.12	166.3	181	171	155
NR_073397	0	0	0	0	0	0
NM_001289947	0	0	0	0	0	0
NM_001290030	0	0	0	0	0	0
NM_001290031	0	0	0	1	0	0
NR_110644	2	2	2	0	1	1
NM_001002912	0	0	0	1	1	1
NR_121670	0	0	0	0	0	0
NR_121671	0	0	0	0	0	0
NM_001130514	0	0	0	0	0	0
NM_001170806	0.43	0	0	0	0	0
NM_173549	18.57	29	18	1	1	0
NM_001308234	0	0	1	0	0	0
NM_152394	3	2.17	0	1	0	0
NR_121674	4	4.78	2	4	4.18	5.34
NR_121675	0	2.05	0	0	1.82	1.66
NM_182542	0	0	0	0	0	0
NM_001127397	0	13.91	11.53	14.55	0	13.49
NM_001127398	345.67	463.35	283.76	487.52	410.24	417.77
NM_015701	1937.33	1946.74	1303.71	1914.94	1871.76	1768.74
NM_001100626	911.05	995.05	685.8	529.65	562.44	434.26
NM_006459	11.95	33.95	22.2	69.35	20.56	45.74
NM_001003790	16.31	25.99	16.05	0	6.79	7.35
NM_001003791	0	0	0	6.17	4.15	0
NM_007175	499.67	537.95	430.95	438.82	511.05	430.65
NM_001017922	232.69	244.86	220	76	128.66	91
NM_018538	79.31	96.14	0	0	0.34	0
NM_001278531	0	0	0	0	0	0
NM_001278532	0	0	102.62	17	14.62	0
NM_001278533	0	0	28.49	0	19.81	0
NM_018341	213	225	4.89	98	63.57	74
NM_001009959	0	0	0	0	0	0
NM_001304344	1	0	3	0	1	1
NM_001304345	0	0	0	0	0	0
NM_001304346	0	0	0	0	0	0
NM_020711	0	0	0	0	0	0
NM_024896	729	680	493	190	171	173
NM_001433	86	98	69	205	318	230
NM_001308220	0	0	1	0	1	0
NM_033266	0	0	0	0	0	0
NM_014584	1111	1183	941	2672	2582	2621
NM_019891	55	81	49	107	90	75
NM_001300784	0	1	0	0	0	0
NM_152321	0	0	0	5	0	3
NM_001034025	145.3	85.91	66.99	24.1	49.64	33.86
NM_006817	1298.7	1425.09	1098.01	902.9	931.36	787.14
NM_015051	1210	1387	976	1258	1172	1181
NM_018948	1614	1791	1470	5812	5563	6583
NM_001007253	50.75	49.19	31.72	47.78	43.31	36.33
NM_207582	0	0	0	0	0	0
NM_001308491	0	0	0	0	1	0
NR_040023	71	64	35	135	81	75
NM_001242690	3	0	3	1	0	0
NM_024534	0	0	0	0	0	0
NM_152473	0	0	0	2	0	0
NM_001191055	0	0	0	0	0	0
NM_138961	5	1	2	11	6	7
NM_052911	258	293	211	403	310	292
NM_001017420	70	84	57	13	8	7
NM_001984	1114	1165	901	759	717	601
NM_001276380	439	480	322	636	645	514
NM_016649	0	0	0	0	0	0
NM_001135604	7	0	6	22.45	26	13.26
NM_007036	0	9	0	328.55	357	332.74
NM_012291	186	215	145	95	139	106
NM_031475	1	0	0	2	5	1
NM_001308370	30	38	27	35	22	25
NM_194312	0	0	0	0	0	0
NR_026567	0	0	0	0	0	0
NM_000125	0	0	0	0	0	0
NM_001122740	0	0	0	0	0	0
NM_001122741	3.83	3.33	3.4	6.03	17.47	6.88
NM_001122742	0	0	0	0	0	0
NM_001291230	0.02	0.01	0.04	0.07	0.09	0.05
NM_001291241	51.15	50.65	31.56	54.9	244.44	81.07
NM_001040275	0	0	0	15.44	0	6.04
NM_001214902	0	0	0	0	0	0
NM_001271876	0	0	0.29	1.36	2.84	0
NM_001271877	0	1.69	0	0	1.59	0.03
NM_001291712	0	0	1.71	1.96	0	0
NM_001291723	0	0	0	0	0	7.94
NM_001437	2	0	0	5.24	0	0
NR_073496	0	1.31	0	0	0	0
NR_073497	0	0	0	0	3.57	0
NR_027122	1	0	0	2	1	6
NM_001034915	0	0	0	0	0	0
NM_001122825	0	0	0	0	0	0
NM_001122826	0	0	0	0	0	0
NM_001122827	0	0	0	0	0	0
NM_017697	0	0	0	0	0	0
NM_024939	3.49	0	2.3	1.17	3.34	1.19
NM_001282450	23.3	29.4	17.02	46.19	123.47	38.49
NM_001282451	66.67	25.83	0	88.47	122.54	81.89
NM_004451	368.47	470.48	338.55	921.44	672.2	739.46
NM_004452	0	1	0	0	0	0
NM_001134285	0	0	0	0	0	0
NM_001243505	4	3.29	1	1	0	3
NM_001243506	0	0	0	0	0	0
NM_001243507	0	0	0	0	0	0
NM_001243509	0	0	0	0	0	0
NM_001243510	0	0	0	0	0	0
NM_001243511	0	0	0	0	3	0
NM_001243512	0	0	0	0	0	0
NM_001243513	0	0	0	0	0	0
NM_001243514	0	0	0	0	0	0
NM_001243515	0	0	0	0	0	0
NM_001243518	0	0	0	0	0	0
NM_001243519	0	0	0	0	0	0
NM_001438	0	2.71	0	0	0	0
NM_206594	0	0	0	0	0	0
NM_206595	0	0	0	0	0	0
NM_153448	0	0	1	0	0	0
NM_001184796	377.24	500.15	401.07	725.03	865.59	414.04
NM_015292	2260.76	2316.85	1539.93	2526.97	2143.41	2043.96
NM_020728	1869	2151	1438	969	984	828
NM_031913	2	2	0	5	4	2
NM_019002	249	295	177	108	85	89
NM_001256302	93.88	126.32	60.28	108.79	180.9	137.79
NM_001282185	0	0	0	0	0	0
NM_001291974	0	0	0	0	0	0
NM_001291975	124.35	48.93	45.01	126.72	76.63	80.74
NM_004730	2495.77	2867.75	2073.71	4324.49	4211.47	3500.48
NM_000126	1302.51	1427.11	968.72	1576.4	1423.51	1380.91
NM_001127716	201.49	172.89	97.28	177.6	196.49	129.09
NM_001014763	2.41	0	0	0	0	2.37
NM_001985	1005.59	984	652	1259	997	919.63
NM_001281737	0	0	0	0	0	0
NM_001281738	123.09	0	154.02	64.17	107.03	65.94
NM_004453	292.91	415	167.98	229.76	202.75	183.06
NM_014297	380	428	273	813	859	791
NM_001039481	33.96	51.01	37.94	108.72	82.04	83.45
NM_018638	572.04	520.99	362.06	1201.28	986.96	889.55
NM_001297760	25.75	0	0	9.16	0	0
NM_001297761	0	0	5.1	0	12.62	27.92
NM_001297762	0	0	37.26	10.85	0	0
NM_018208	255.25	296	144.64	71.99	68.38	39.08
NM_001146590	0	0	0	0	0	0
NM_001146627	0	0	0	0	0	0
NM_031279	0	0	0	0	0	0
NR_027474	0	0	0	0	0	0
NR_027475	0	0	0	0	0	0
NM_001143820	0	0	0	55.81	0	17.44
NM_001162422	0	0	52.3	113.22	0.01	254.13
NM_005238	2211	2873	1770.7	4454.97	4463.99	4043.43
NM_001256295	0	0	0	46.34	15.3	0
NM_005239	1432	1512	1146	2123.66	2197.7	1986
NM_001163147	53.52	42.21	81.4	136.3	143.97	131.72
NM_001163148	0	0	0	0	0	0
NM_001163149	103.36	0	0	5.3	78.04	0
NM_001163150	0	0	0	31.62	0	15.01
NM_001163151	0	0	0	0.06	0	0
NM_001163152	0	0	0	0	0	0
NM_004956	255.11	337.11	217.6	695.72	333.39	580.34
NR_120445	0	4.69	0	0	122.61	51.93
NM_001300974	1	5	6	0	2	2.85
NM_001304549	0	0	0	1	0	3.15
NM_014209	0	0	0	0	0	0
NM_001145312	101.93	106	94	221.28	193.12	192.65
NM_005240	4.07	0	0	8.6	7.79	5.35
NM_001004341	0	0	0	1.12	1.1	0
NM_001079675	0	41.98	0	125.67	110.33	91.85
NM_001261437	39.38	25.64	0	38.86	46.33	43.77
NM_001261438	17.88	23.25	10.96	453.54	501.85	508.37
NM_001261439	24.68	20.33	10.62	71.31	49.81	28.33
NM_001986	59.05	39.8	98.42	507.61	221.68	352.68
NM_004454	1002	999	786	1021	1217	1045
NM_001987	424	450	280	364	320	276
NM_001207035	0	4.14	0	0	0	0
NM_001207036	0	0.25	0	0	0	0
NM_001207037	0	0	0	0	0	0
NM_001207038	0	4.19	0	3	0	0
NM_001207039	5.71	1.57	0	0	0	0
NM_001207040	19.29	0	0	0	0	0
NM_001207041	0	8.09	0	0	1	4
NM_016135	0	0.76	8	0	0	0
NM_001135032	750	812.68	613	875	823	710
NM_032181	0	18.32	0	0	0	0
NM_001304762	1770.16	1748.98	1239.13	1934.01	1684.87	1462.7
NM_018166	4.63	4.48	4.25	36.43	18.26	13.6
NR_130899	104.21	73.54	55.62	18.57	48.87	60.7
NM_001286556	0	9.49	15	5	0	0
NM_058187	21	0	0	0	13	0
NR_104472	0	8.51	0	0	0	5
NR_125857	0	0	0	0	0	0
NM_001306090	809.28	761.75	165.21	946.67	537.91	698.43
NM_001306092	10.76	17.39	9.17	51.78	82.52	43
NM_153717	482.97	724.86	766.62	734.54	946.57	441.57
NM_001166136	0	0	0	0	0	0
NM_147127	173	168	126	142	144	138
NM_001003927	0	0	0	0	0	0
NM_014210	2	16	7	2	1	2
NM_006495	16	22	15	6	9	7
NM_001308248	528.97	223.1	276.07	511.81	323.2	459.41
NM_005665	69.03	410.9	155.93	95.19	271.8	57.59
NM_001159944	440.03	515.39	315.48	316.86	317.87	271.05
NM_145245	705.97	684.61	533.52	831.14	642.13	615.95
NM_016337	589	623	383	226	166	159
NM_001988	2	0	0	0	0	0
NM_001145127	0	0	0	0	0	0
NM_001304519	0	0	0	0	0	0
NM_001304520	0	0	0	0	0	0
NM_001989	0	0	0	0	0	0
NR_120507	0	0	0	0	0	0
NM_001080458	0	0	0	0	0	0
NR_026949	0	2	0	0	0	0
NM_001163285	1356.3	1280.98	1013.19	1017.52	1115.5	744.67
NM_001163286	3.48	0	0	0	0	0
NM_001163287	55.11	8.3	14.28	58.35	30.04	43.66
NM_005243	1185.11	1378.72	869.19	882.13	615.46	714.67
NM_013986	0	0	0	0	0	0
NM_001286441	0	0	0	0	0	0
NM_152596	1	0	0	2	1	0
NM_001193360	172.99	270.88	236.11	310.38	254.06	169.01
NM_001193361	205.95	176.42	69.89	0	59.01	36.04
NM_001193362	0	0	0	17.35	21.93	29.03
NM_001193363	0	0	0	3.19	0	0.05
NM_018199	0	0	0	0	0	0
NR_034164	26.06	26.7	0	22.74	0	21.97
NR_034165	0	0	0	1.33	0	3.91
NM_001286823	15.31	19.81	13.37	15.98	7.98	5.45
NM_017820	48.93	29.57	24.09	4.26	9.29	15.48
NR_104598	0	3.15	6.13	2.99	0	0
NR_104599	48.76	63.47	39.41	105.77	96.73	83.07
NM_003686	0	0	0	8.55	4.86	11.57
NM_006027	69.58	115	41.72	0.45	0.14	0.43
NM_130398	28.42	0	25.28	0	0	0
NM_022774	89	105	66	109	125	93
NM_001024924	294.88	286.66	288.03	334.15	229.86	243.26
NM_018261	0	0	0	0	0	0
NM_178237	440.12	434.34	238.97	190.85	260.14	177.74
NM_018303	788.59	891.07	591.46	821.59	712.28	672.66
NR_073064	111.41	18.93	70.54	43.41	36.72	45.34
NM_007277	1014	1088	727	946	758	684
NR_126522	39	44	24	54	38	46
NM_178516	3	0	2	9	4	4
NM_138568	3	0	1	0	1	0
NM_001077594	0	0	0	0	0	0
NM_001037126	0	0	0	0	0	0
NM_021807	967	1101	810	758	773	712
NM_006544	1030	1109	811	1480	1171	1143
NM_001013848	0	0	0	0	0	0
NM_019053	426	497	322	206	193	154
NM_015189	427	494	315	250	297	246
NM_001013839	148.37	354.74	106.17	292.9	69.03	82.99
NM_001145297	72.05	33.8	28.87	84.44	31.51	24.94
NM_001145298	80.57	0	0	0	0	0
NM_001145299	186.11	237.96	169.05	160.86	202.8	42.92
NM_001282313	25.04	0	0	23.22	21.49	0
NM_001282314	0	2.55	0	4.36	4.66	0
NM_015219	1743.86	1838.07	1434.91	3094.59	2820.51	2729.47
NM_175876	341	393	240	419	438	362
NM_001145464	62.1	0	0	23.96	20.39	0
NM_005107	155.9	230	185	192.04	146.61	134
NM_016046	377	411	257	332	316	284
NM_001001998	784	887	655.96	839	868	744
NM_002685	0	0	37.04	0	0	0
NM_001282708	17.58	0	0	0	0	0
NM_001282709	13.52	27	44.42	12.77	20.51	0
NM_014285	177.33	185.1	52.78	311.69	267.78	203.69
NR_104230	3.57	14.9	15.8	36.53	17.71	10.31
NM_001002269	30.19	23.75	0	32.14	11.8	49.61
NM_016042	273.81	279.25	228	411.86	419.2	357.39
NM_019037	266	284	213	1014	905	765
NM_020158	68	86	65	181	184	127
NM_058219	286	351	232	226	242	226
NM_015004	311.1	296.66	216.14	445.5	378.66	340.56
NR_023353	43.9	61.34	51.86	62.5	48.34	63.44
NM_181503	298.81	299.95	203.99	125.51	162.07	108.71
NM_001034194	72.74	47.85	12.04	29.6	39.11	30.32
NM_005033	166.93	241.84	191.18	122.54	109.39	87.57
NM_001308019	18	24	19	7	2	3
NM_015065	0	0	0	0	0	0
NM_000127	5173	5697	3886	2180	2086	1949
NM_000401	156.97	99.65	190.98	78.12	0	455.04
NM_001178083	0	0	0	0	0	0
NM_207122	2084.03	2307.35	1466.02	1825.88	1908	1176.96
NM_004455	17	17	10	19	10	10
NM_001033025	535.61	551.27	507.31	861.45	855.48	587.56
NM_001261440	75.27	175.39	29.13	0	30.67	39.73
NM_001261441	0	30.29	0	54.46	0	26.9
NM_001261442	0	0	0	0	36.02	0
NM_001439	267.12	136.04	146.57	234.08	129.83	385.82
NR_048570	0	0	0	0	0	0
NM_001440	1185.41	1265.67	981.5	2785.95	2758.83	2562.22
NR_073468	200.59	224.33	102.5	296.05	234.17	194.78
NR_073469	0	0	0	0	0	0
NR_126027	0	0	0	0	0	0
NM_000503	0	0	0	0	0	0
NM_001288574	0	0	0	0	0	0
NM_001288575	0	0	0	0	0	0
NM_172058	0	0	0	0	0	0
NM_172059	0	1	0	0	0	0
NM_172060	0	0	0	0	0	0
NM_005244	11.09	0	9	0	0	6
NM_172110	1.91	11	0	3	4	0
NM_001282560	0	0	0	0	0	0
NM_001282561	170.81	77.5	204.84	273.61	336.83	180.8
NM_001282562	0	0	0	0	42.07	0
NM_001990	202.19	315.74	76.83	336.39	143.1	294.2
NR_104214	0	8.76	5.33	0	0	0
NM_001301012	215.43	173.89	189.54	27.4	93.61	11.94
NM_001301013	26.74	11.6	0	0	30	0
NM_004100	0	0	0	0	0	0
NM_172103	81.31	172.95	118.45	63.55	36.06	65.46
NM_172105	53.51	76.57	0	65.05	20.33	81.6
NM_001142800	3	5	4	18	20	26
NM_001142801	0	0	0	0	0	0
NM_001292009	0	0	0	0	0	0
NM_198283	0	0	0	0	0	0
NM_001991	331	316	237	196	206	161
NM_001203247	143	133.75	90	64	66.92	45.03
NM_001203248	0	0	0	0	0	0
NM_001203249	0	0	0	0	0	0
NM_004456	0	28.25	0	0	0	0
NM_152998	0	0	0	0	0.08	6.97
NM_001111077	1565.52	1786.48	1274.46	550.78	697.06	589.38
NM_003379	295.48	536.52	396.54	310.22	245.94	202.62
NR_102425	0	0	0	0	0	0
NM_000504	187	215	107	34	26	31
NR_126424	0	0	0	0	0	0
NM_000128	0	0	0	1	2	0
NR_033900	0	0	0	0	0	0
NM_016946	10	15	13	37	45	34
NM_000505	9	17	13	19	26	17
NM_000129	0	0	0	0	0	0
NM_001994	0	0	0	0	0	0
NM_000506	1	0	0	0	0	0
NM_001992	8384	8701	7102	10035	7634	9081
NM_005242	103	100	94	3371	2069	2608
NM_001256566	120.43	219.18	103.84	51.15	8.14	54.26
NM_004101	774.57	688.82	615.16	488.85	399.86	577.74
NM_003950	3	2	0	71	56	77
NM_001178096	393.47	453.1	332.73	226.98	93.26	167.22
NM_001993	16135.53	15796.88	12258.26	13869.02	8991.74	10519.78
NM_000130	0	1	0	0	0	0
NM_000131	0	0	0	0	0	0
NM_001267554	4	5	1	0	2	0
NM_019616	0	0	0	0	0	0
NR_051961	0	0	0	0	0	0
NM_000132	4.09	6.82	4.08	1.37	4.15	5.36
NM_019863	85.91	71.18	61.92	58.63	49.85	49.64
NM_012151	0	8.32	0	3.8	15.8	24.86
NM_012151_1	620.74	632.49	494.76	699.23	774.35	646.29
NM_012151_2	0	8.32	0	3.8	15.8	24.86
NM_001007523	0	0	0	0	0	0
NM_001007523_1	0	0	0	0	0	0
NM_001007523_2	0	0	0	0	0	0
NM_001007524	0	0	0	0	0	0
NM_001007524_1	0	0	0	0	0	0
NM_001007524_2	0	0	0	0	0	0
NM_000133	0	0	0	0	0	0
NM_024306	0	0	0	0	0	0
NM_001441	6	4	3	2	2	0
NM_174912	0	0	3	1	0	0
NR_045483	0	0	0	0	0	0
NM_025161	427.03	653.06	338.96	438.77	309.17	309.37
NR_033338	305.97	103.94	201.04	330.23	310.83	275.63
NM_001146310	13.47	6.99	6.78	15.92	5.76	0
NM_001256945	22.56	10.71	8.09	32.18	33.36	30.12
NM_001256946	39.4	47.44	33.96	82.14	66.67	60.7
NM_001256947	40.7	9.18	11.41	19.84	41.89	34.14
NM_001282670	12.1	0	1.33	13.25	15.02	8.45
NM_001282671	81.39	101.97	69.85	64.4	68.61	64.33
NM_001282672	0	0	0	0	1.84	0
NM_001282673	104.6	99.76	68.51	229.26	161.31	173.75
NM_182533	411.72	450.91	357.9	744.09	603.64	576.41
NR_046427	0	0	0	0	0	0
NM_001300978	0	0	3.39	0	0	8
NM_152266	26	31	26.61	15	4	0
NM_001443	0	0	0	0	0	0
NM_001105281	0	0	0	0	1	0
NM_000134	0	0	1	0	0	0
NM_004102	49	57	38	50	50	55
NM_001442	0	0	2	0	0	0
NM_001444	126	164	108	450	352	297
NR_002935	0	0	0	0	0	0
NM_001040442	0	0	0	0	0	0
NM_001130958	0	0	0	0	0	0
NM_001445	0	0	0	2	3	1
NM_001446	0	0	0	0	0	0
NM_001080526	0	0	0	0	0	0
NM_003824	766	887	621	949	813	805
NM_013402	1518.02	1816.34	1277	2069.15	1894.77	1913.6
NM_001281501	608.87	705.54	570.65	552.75	630.37	611.16
NM_001281502	167.22	126.79	0	42.03	109.69	115.06
NM_004265	2871.88	3518.34	2285.35	2628.08	1477.17	2241.17
NM_021727	1272	1301	873	1595	1643	1407
NM_178128	0	0	0	0	0	0
NM_007051	572	627	448	545	507	441
NM_014613	1316	1501	1055	1933	1872	1755
NM_000137	493	556	345	909	740	680
NM_001018104	18.27	32.01	31.55	9.18	27.84	15.55
NM_001142398	25.49	0	0	12.81	0	0
NM_031208	616.23	656.99	488.45	789	836.16	688.45
NM_016044	179.68	160.82	150.28	211.9	213.07	196.05
NM_199336	22.7	18.46	12.72	4.1	9.77	4.95
NR_003698	6.62	6.72	6	0	1.15	1
NM_001033030	13.33	23.48	15.17	4.81	5.64	0
NM_001033031	0	0	0	0	0	0
NM_001033032	45.99	66.46	43.43	48.05	63.36	30.31
NM_018147	35.68	13.06	24.41	12.14	0	23.69
NM_012306	28	36	23	24	9	26
NR_051960	3	6	1	0	2	0
NM_181709	0	0	0	0	0	0
NM_182705	853	1058	744	1139	1174	1027
NM_001035254	742.82	851.83	532.13	1010	1021	900
NM_203305	50.18	15.17	29.87	0	0	0
NM_001010883	298	337	244	243	215	206
NM_031452	518.92	528.56	403.17	696.54	570.17	509.14
NM_001098832	246.85	202.45	265.44	206.93	112.76	217.66
NM_001289410	20.43	0	0	49.52	30.09	0
NM_001289411	0	0	0	0	0	0
NM_001289412	0	0	0	0	0	0
NM_032837	626.55	794.68	438.62	498.28	541.91	366.55
NM_001166699	5.32	6.71	6.9	6.69	3.28	1.35
NM_001166700	5.07	4.78	1.33	11.2	7.1	3.81
NM_001166701	14.44	0	0.68	13.57	24.53	20.36
NM_001166702	10.66	45.58	22.89	25.35	0	18.95
NM_001166703	12.35	0	7.1	12.84	12.2	4.82
NM_001166704	2.55	6.98	1.39	0	5.21	0
NM_138362	14.04	0	3.09	8.36	13.95	10.71
NR_030722	2.58	9.95	6.63	0	1.72	0
NM_019018	6	4	3	17	12	12
NR_026809	1	0	0	0	0	0
NR_126160	0	0.5	1	0	0.5	0
NR_026810	0	0.5	0	0	0.5	0
NM_001076778	0	0	0	0	0	0
NM_001282713	0	0	0	0	0	0
NM_001282714	0	0	0	0	0	0
NM_007177	0	0	0	0	0	0
NM_001282695	0	6.12	0	0	0	0
NM_001282696	153.9	345.65	288.79	619.5	447	524.09
