	Proliferating_1	Proliferating_2	Senescent_1	Senescent_2
ENSG00000006015	204.9643	133.0494	116.7161	190.5092
ENSG00000006016	47.6996	20.7836	15.8728	38.6721
ENSG00000006025	72.1009	62.1738	17.5952	64.9704
ENSG00000006042	614.4264	359.5266	280.4297	499.0065
ENSG00000006047	0	0	0	0
ENSG00000006059	0	0.5311	0	0
ENSG00000006062	97.0065	52.782	10.2865	18.1684
ENSG00000006071	0	0	0	0
ENSG00000006116	0	0	0	0
ENSG00000006118	536.6826	463.9147	3045.1289	4316.2161
ENSG00000006125	3224.6031	2095.5092	1659.5257	2657.7954
ENSG00000006128	0	0	1.8402	0.9078
ENSG00000006194	194.4863	182.7063	164.695	278.3668
ENSG00000006210	9.6833	11.76	2.6051	7.5855
ENSG00000006282	506.7109	315.5509	116.0148	237.5116
ENSG00000006283	8.8385	1.1046	3.265	6.4671
ENSG00000006327	1654.1803	1159.992	1461.8609	2123.7997
ENSG00000006377	0	0	0	0
ENSG00000006432	17.0244	8.7417	59.9683	90.2005
ENSG00000006451	740.7351	471.2297	2266.5232	3657.3866
ENSG00000006453	188.4849	109.286	37.719	35.1063
ENSG00000006459	48.8447	22.2052	70.3396	171.8923
ENSG00000006468	253.8276	220.6424	219.5039	277.4136
ENSG00000006530	182.5865	112.0142	136.6862	196.9679
ENSG00000006534	293.6718	203.966	52.0959	110.2835
ENSG00000006555	2.4392	0	0	0
ENSG00000006576	1190.3865	702.406	258.514	419.6701
ENSG00000006606	1.0142	3.0489	9.9857	9.682
ENSG00000006607	403.7589	324.297	415.6342	609.6667
ENSG00000006611	0	0	0	0
ENSG00000006625	130.888	77.7142	150.4137	260.7165
ENSG00000006634	137.9665	100.8619	64.2127	85.9633
ENSG00000006638	47.7615	32.491	18.2651	13.9454
ENSG00000006652	292.3502	228.326	190.5873	372.6178
ENSG00000006659	3.0039	0	0	0
ENSG00000006695	134.6864	79.1319	114.9541	168.7545
ENSG00000006704	187.4443	131.9624	100.2624	149.2422
ENSG00000006712	536.401	338.3668	267.887	480.3526
ENSG00000006715	579.1879	380.0012	375.0359	639.1378
ENSG00000006740	24.1817	24.9847	21.189	40.2871
ENSG00000006744	495.2957	394.0908	644.9905	1022.2848
ENSG00000006747	11.3054	9.7801	10.5882	10.5212
ENSG00000006756	125.5127	73.7892	141.7991	155.5768
ENSG00000006757	70.3881	50.7465	25.1972	34.0404
ENSG00000006788	0	0	0	0
ENSG00000006831	612.0647	383.5425	554.1952	897.7057
ENSG00000006837	8.9227	26.2941	19.9944	48.633
ENSG00000007001	0	0	0	0
ENSG00000007038	0	0	2.0246	0
ENSG00000007047	614.8592	359.4238	511.9437	958.8082
ENSG00000007062	3.2272	0	0	0
ENSG00000007080	468.3049	314.4278	386.4239	580.9937
ENSG00000007129	0	0	0	0
ENSG00000007168	2260.2465	1363.0621	2271.7088	3694.6057
ENSG00000007171	0	0	0	0
ENSG00000007174	0	1.2928	0.1586	0
ENSG00000007202	2402.0323	1509.4432	1998.9486	3759.8279
ENSG00000007216	0	0	0	0
ENSG00000007237	193.9524	126.7709	99.7163	69.7952
ENSG00000007255	11.4803	8.2081	3.153	3.346
ENSG00000007264	0	0	0.9447	0.926
ENSG00000007306	0	0	0	0
ENSG00000007312	0	0	0.5501	0
ENSG00000007314	0	0	0.8147	0.8144
ENSG00000007341	113.565	61.6016	118.4787	172.9826
ENSG00000007350	0	0	0	0
ENSG00000007372	5.2046	7.2096	1.7004	3.3987
ENSG00000007376	249.5825	161.7079	372.0365	594.5859
ENSG00000007384	660.3328	453.8711	785.4775	1849.8233
ENSG00000007392	285.34	223.1787	182.8394	282.4859
ENSG00000007402	4.9409	2.4504	1.2113	4.0598
ENSG00000007516	7.9477	2.8723	0.4015	24.3117
ENSG00000007520	457.7654	337.4291	428.5926	670.359
ENSG00000007541	264.8355	202.2911	158.8514	199.257
ENSG00000007545	279.866	263.9466	121.848	226.7361
ENSG00000007866	465.6443	369.3027	292.0989	478.4614
ENSG00000007908	0	0	0	0
ENSG00000007923	749.3211	469.5312	420.658	790.4289
ENSG00000007933	5.508	0	0.7537	2.586
ENSG00000007944	22.6475	6.3164	24.4468	23.0977
ENSG00000007952	7.4119	0	4.8578	2.0791
ENSG00000007968	4.8149	2.9032	0.4724	0.4863
ENSG00000008018	1070.7187	722.0568	826.5337	1317.928
ENSG00000008056	28.0883	14.9195	32.4568	48.8784
ENSG00000008083	266.0258	168.545	253.0061	399.9571
ENSG00000008086	196.5174	119.7194	79.127	111.629
ENSG00000008118	5.9672	1.4798	42.2932	73.0552
ENSG00000008128	107.3985	65.9077	77.7945	121.205
ENSG00000008130	640.0206	542.0839	376.3607	779.9314
ENSG00000008196	0	0	0	0
ENSG00000008197	0	0	0	0
ENSG00000008226	0.99	2.2582	3.5315	0.9683
ENSG00000008256	530.5154	326.8927	218.0087	281.5157
ENSG00000008277	11.6392	2.1387	0.5402	2.6446
ENSG00000008282	797.7286	493.749	793.5787	1360.8482
ENSG00000008283	73.641	64.4077	43.4383	72.736
ENSG00000008294	1163.6569	715.0456	722.2179	1091.5394
ENSG00000008300	42.6782	42.677	20.9792	40.7961
ENSG00000008311	109.3102	60.9996	17.411	32.6997
ENSG00000008323	2.0757	0.8409	9.866	19.0107
ENSG00000008324	73.1062	44.9095	63.9423	120.8922
ENSG00000008382	74.445	44.7737	12.0435	45.1154
ENSG00000008394	1256.6092	801.3311	928.5303	1415.8999
ENSG00000008405	207.5505	148.1353	135.4577	169.5245
ENSG00000008438	1.0014	0.9991	0	0.9645
ENSG00000008441	2871.6496	1889.1267	411.6408	540.1879
ENSG00000008513	710.1598	467.2817	1212.2842	1719.0188
ENSG00000008516	6.527	2.7914	1.1994	4.5008
ENSG00000008517	73.4339	49.1557	70.6237	135.9782
ENSG00000008710	1467.0532	1251.4616	945.6858	1712.8834
ENSG00000008735	7.1438	2.3665	13.264	7.0029
ENSG00000008838	514.4597	290.9992	287.3801	615.6295
ENSG00000008853	260.0522	226.8526	131.3817	274.3846
ENSG00000008869	274.7792	168.044	186.0017	290.4657
ENSG00000008952	1820.8302	1151.177	1296.1584	2227.7238
ENSG00000008988	3144.2664	1820.9185	1944.1576	2978.692
ENSG00000009307	7409.4838	4306.7675	4448.0006	7681.2121
ENSG00000009335	1714.8583	1043.423	1550.5589	2518.9218
ENSG00000009413	397.51	348.1539	332.7256	355.6608
ENSG00000009694	2.7345	2.7085	23.7632	91.2398
ENSG00000009709	0	0	0	0
ENSG00000009724	8.8808	7.8305	1.9353	14.575
ENSG00000009765	4.4662	0	3.8836	0
ENSG00000009780	71.8224	36.291	33.8238	47.7717
ENSG00000009790	0.7198	0.7136	0	0
ENSG00000009830	179.132	183.2054	374.256	659.3809
ENSG00000009844	623.7743	404.5013	360.2338	653.7124
ENSG00000009950	1.0323	0	1.9787	3.9492
ENSG00000009954	1543.4916	1039.5859	992.5713	1542.9969
ENSG00000010017	621.3222	371.705	317.0762	542.0506
ENSG00000010030	0	1.0727	0	0
ENSG00000010072	105.6687	85.4091	112.5762	124.7731
ENSG00000010165	227.1803	164.8191	200.444	410.3833
ENSG00000010219	129.178	65.3025	40.3467	48.936
ENSG00000010244	1442.4827	905.7724	991.1049	1716.0252
ENSG00000010256	1061.9488	890.7999	924.3048	1515.8841
ENSG00000010270	424.3345	268.1328	301.5271	482.0954
ENSG00000010278	699.6938	438.8076	1641.5525	2588.3525
ENSG00000010282	0	0	0	0
ENSG00000010292	948.0568	550.9559	152.8585	162.9182
ENSG00000010295	327.4029	213.6179	142.7275	264.3237
ENSG00000010310	8.6475	7.7547	2.9745	12.806
ENSG00000010318	28.0314	17.7622	22.3539	24.6641
ENSG00000010319	0	0	0	0
ENSG00000010322	1266.9818	697.0444	411.9149	868.0697
ENSG00000010327	0	1.8468	0	0
ENSG00000010361	60.4122	40.0661	9.6258	36.8241
ENSG00000010379	0	0	3.6004	1.2964
ENSG00000010404	1112.4921	768.0495	1753.4884	2491.9804
ENSG00000010438	19.4409	22.7922	190.7908	294.5657
ENSG00000010539	61.0105	40.2863	47.0265	97.0949
ENSG00000010610	139.7014	123.7446	64.1378	76.7528
ENSG00000010626	34.7055	22.62	8.3596	14.6291
ENSG00000010671	0	4.4412	0	0
ENSG00000010704	135.4839	92.9982	26.9671	57.1062
ENSG00000010803	230.971	179.3206	53.5159	96.3183
ENSG00000010810	210.1833	150.5245	234.8131	485.2617
ENSG00000010818	307.8129	192.9332	377.9292	563.3115
ENSG00000010932	0	0	0	0
ENSG00000011007	738.984	468.9483	952.2706	1553.0428
ENSG00000011009	362.5436	293.3944	531.6044	961.6304
ENSG00000011021	194.2678	101.472	98.6782	146.0332
ENSG00000011028	3713.9988	3023.2287	1297.0357	2161.8253
ENSG00000011052	144.6064	51.2328	59.8034	194.4568
ENSG00000011083	0	0	0	0
ENSG00000011105	376.4444	313.0687	268.5861	580.8764
ENSG00000011114	275.9266	237.7034	264.3495	310.4994
ENSG00000011132	74.1336	68.2297	78.21	135.7791
ENSG00000011143	77.7352	60.4498	23.8895	32.2164
ENSG00000011198	124.5763	64.4519	224.3477	365.6829
ENSG00000011201	8.9054	15.9709	76.43	71.2035
ENSG00000011243	410.2879	302.9597	302.6942	598.2614
ENSG00000011258	104.3156	53.0959	43.8262	91.4007
ENSG00000011260	299.868	165.5234	204.8972	346.0963
ENSG00000011275	748.3779	515.0659	319.3416	535.6088
ENSG00000011295	208.9562	120.0082	145.9167	226.2422
ENSG00000011304	2262.3486	1615.1462	1444.2405	2327.4191
ENSG00000011332	68.5401	34.0098	27.1617	39.2834
ENSG00000011347	7.4629	7.5533	88.8577	136.8566
ENSG00000011376	339.1151	189.5322	302.165	528.5595
ENSG00000011405	741.6292	630.9352	779.7639	1277.2146
ENSG00000011422	719.3852	490.2495	1296.1599	2049.5219
ENSG00000011426	1533.1381	1134.0966	75.0756	131.371
ENSG00000011451	862.3905	626.8873	566.098	909.5483
ENSG00000011454	545.7447	365.5316	277.6955	419.2933
ENSG00000011465	3834.0528	2319.0858	185.1156	248.3404
ENSG00000011478	126.82	74.8477	145.5955	207.7249
ENSG00000011485	619.6345	423.8638	459.9197	708.212
ENSG00000011523	130.4582	129.1552	50.7756	166.6909
ENSG00000011566	573.3971	327.6176	477.5078	730.297
ENSG00000011590	1.1864	0.675	0.5818	1.736
ENSG00000011600	0	0	0	0
ENSG00000011638	323.3992	175.9161	136.2931	266.899
ENSG00000011677	0	0.9902	0	0
ENSG00000012048	131.7697	103.1604	55.981	81.0819
ENSG00000012061	482.7142	350.8103	979.1191	1664.2184
ENSG00000012124	0.3885	6.5371	7.415	13.1087
ENSG00000012171	117.5112	101.8336	6.9113	22.3752
ENSG00000012174	470.0326	299.1477	338.2559	496.5312
ENSG00000012211	56.5991	42.5104	23.3013	40.5855
ENSG00000012223	3.9641	0	0	0
ENSG00000012232	925.9086	666.4031	1247.072	1843.8803
ENSG00000012504	0	0	0	0
ENSG00000012660	880.758	559.3479	502.1461	815.9267
ENSG00000012779	0	0	0.3149	0
ENSG00000012817	1.1601	1.1557	1.1394	1.1214
ENSG00000012822	892.6336	603.1202	500.3659	829.0593
ENSG00000012963	193.6651	122.2736	68.3192	108.0656
ENSG00000012983	1239.9085	768.144	464.3598	765.6411
ENSG00000013016	531.1731	333.4658	252.5186	409.4829
ENSG00000013275	405.0824	257.6743	408.7063	646.3337
ENSG00000013288	1046.2171	791.7634	401.8729	599.3795
ENSG00000013293	301.622	247.4032	4.1102	52.9206
ENSG00000013297	3767.5646	2418.1751	179.6934	343.0583
ENSG00000013306	613.8198	409.1012	476.3881	841.0804
ENSG00000013364	2961.662	2057.4656	2206.5791	3577.5225
ENSG00000013374	394.9294	251.6845	215.2099	356.1122
ENSG00000013375	1769.831	1058.4823	1321.4679	2089.5255
ENSG00000013392	96.3154	60.3822	63.6331	137.799
ENSG00000013441	194.1064	119.1377	78.6368	166.1862
ENSG00000013503	245.5634	174.7666	121.7267	201.3356
ENSG00000013523	120.278	69.5355	165.2867	275.747
ENSG00000013561	668.5181	428.8139	697.185	1290.9217
ENSG00000013563	548.6756	437.234	477.0214	717.2044
ENSG00000013573	127.3994	97.412	42.2216	41.5116
ENSG00000013583	433.7344	277.1097	180.4995	279.3225
ENSG00000013588	754.4001	424.3207	80.4403	145.5516
ENSG00000013619	162.1599	104.4169	69.7403	91.5582
ENSG00000013725	6.1344	0	2.6541	2.856
ENSG00000013810	554.8383	362.7936	39.2995	96.625
ENSG00000014123	379.5601	271.5928	163.263	326.9725
ENSG00000014138	261.4611	102.0657	120.3601	170.5691
ENSG00000014164	243.8927	161.2445	122.9759	232.6472
ENSG00000014216	2067.4108	1546.7564	1199.7807	2119.9694
ENSG00000014257	10.8681	13.7468	237.1214	252.0083
ENSG00000014641	870.4169	541.5638	632.3375	885.9333
ENSG00000014824	1016.5019	657.89	650.0224	1065.2876
ENSG00000014914	113.3929	53.1589	14.809	41.3613
ENSG00000014919	320.2348	215.8211	230.6112	375.944
ENSG00000015133	7.5577	8.1132	46.5202	48.4558
ENSG00000015153	110.4225	67.2377	71.5173	125.0419
ENSG00000015171	882.8831	629.5141	444.1664	678.9937
ENSG00000015285	2.08	0	2.4044	1.0581
ENSG00000015413	0	0	0.7118	0
ENSG00000015475	416.978	427.891	628.0556	965.0799
ENSG00000015479	2720.908	1746.7727	1036.1282	1966.1673
ENSG00000015520	1.1368	0	1.9002	5.7193
ENSG00000015532	796.1728	444.7012	743.0326	1148.5505
ENSG00000015568	69.419	54.2422	15.8757	73.9896
ENSG00000015592	0	0	0	0
ENSG00000015676	746.163	431.9158	615.3635	1010.1408
ENSG00000016082	0	0	0	0
ENSG00000016391	5.3425	0	0	0
ENSG00000016402	0	0	0	0
ENSG00000016490	0	0	0	0
ENSG00000016602	0	0	0	0
ENSG00000016864	616.8175	317.9471	279.361	489.5533
ENSG00000017260	1291.3687	646.455	819.7864	1406.1342
ENSG00000017427	14.121	0.316	0	0
ENSG00000017483	129.5452	87.1668	152.3729	229.4493
ENSG00000017797	1194.348	851.2172	965.9557	1466.2762
ENSG00000018189	295.5037	218.3561	105.4362	255.1078
ENSG00000018236	7.0341	7.3563	0	8.8103
ENSG00000018280	2.1324	0.9932	1.7842	7.8756
ENSG00000018408	1062.5449	728.2875	639.6888	1118.755
ENSG00000018510	523.3687	454.358	372.2268	646.2407
ENSG00000018610	135.7659	78.4749	110.5925	208.7577
ENSG00000018625	0	0	0.6951	1.3966
ENSG00000018699	162.3407	121.4151	110.0588	232.4643
ENSG00000018869	55.2833	15.4082	31.0322	43.3711
ENSG00000019102	3.9869	0	0	1.9765
ENSG00000019144	1919.9924	1218.5861	1316.2797	2431.6566
ENSG00000019169	0	0	0	0.8752
ENSG00000019186	0	0	0	0
ENSG00000019485	70.0351	59.9918	35.3668	37.2564
ENSG00000019505	0	0	0	2.6456
ENSG00000019549	902.6255	582.8156	338.5599	612.3821
ENSG00000019582	1.6781	2.5032	0	0
ENSG00000019991	509.1103	395.187	465.9636	696.692
ENSG00000019995	517.2506	293.6144	249.6313	433.3527
ENSG00000020129	510.9359	382.3206	808.8075	1213.9717
ENSG00000020181	1626.7032	1130.3878	68.5102	86.9026
ENSG00000020256	167.982	125.0069	126.3694	224.626
ENSG00000020426	255.0158	153.3662	144.6546	193.0094
ENSG00000020577	1076.8401	864.292	454.4959	593.9263
ENSG00000020633	0	0	3.1216	1.6658
ENSG00000020922	208.6204	115.2744	51.1516	149.3606
ENSG00000021300	1.8979	2.916	0.6205	1.2345
ENSG00000021355	140.8558	116.3643	186.5203	240.5669
ENSG00000021461	0.8282	2.0592	2.6294	1.2726
ENSG00000021488	0	0	0	1.7203
ENSG00000021574	260.1176	123.9766	107.1831	199.7809
ENSG00000021645	165.793	80.8798	7.0209	4.1469
ENSG00000021762	350.5577	245.4827	133.4405	233.6739
ENSG00000021776	548.1291	356.1571	328.6513	516.7701
ENSG00000021826	51.9495	38.0863	7.3756	4.3571
ENSG00000021852	0	0	0	0
ENSG00000022267	910.7021	746.5283	100.6511	208.4819
ENSG00000022277	991.0543	579.9271	520.9684	888.3832
ENSG00000022355	0	0	0	0
ENSG00000022556	0.8454	0	0.9134	1.775
ENSG00000022567	60.1869	38.3178	31.582	36.1433
ENSG00000022840	1333.6163	898.4982	1226.7489	1915.6843
ENSG00000022976	86.344	32.1895	29.8147	93.3116
ENSG00000023041	202.2783	107.6328	114.3301	193.5142
ENSG00000023171	97.3715	100.1325	72.0525	119.1833
ENSG00000023191	744.2841	562.0154	437.4189	669.9226
ENSG00000023228	595.1116	367.0286	376.0178	657.77
ENSG00000023287	1026.5779	559.5472	810.2872	1300.7557
ENSG00000023318	567.1028	371.0422	511.866	906.0146
ENSG00000023330	264.3755	200.8896	563.8676	976.5688
ENSG00000023445	39.4134	42.2154	55.4054	73.5241
ENSG00000023516	1064.0365	654.5388	1009.5896	1384.156
ENSG00000023572	117.6153	60.07	89.1454	132.4303
ENSG00000023608	131.6932	92.3445	125.6554	231.5143
ENSG00000023697	262.0312	170.9586	48.8595	55.759
ENSG00000023734	1952.0487	1236.5581	1574.6451	2663.079
ENSG00000023839	4.2356	0.5996	12.3626	20.431
ENSG00000023892	8.7677	11.308	8.4865	1.712
ENSG00000023902	527.06	372.9426	400.6239	555.9919
ENSG00000023909	295.3864	175.2002	240.2	479.2161
ENSG00000024048	519.0204	318.8413	335.6462	563.0291
ENSG00000024422	5622.4736	3990.9429	1686.0008	2811.7994
ENSG00000024526	293.7974	207.8441	8.4268	17.7628
ENSG00000024862	56.604	30.1418	41.6631	69.7407
ENSG00000025039	4.2168	0.7714	8.2817	32.6315
ENSG00000025156	150.4328	74.156	37.4734	66.1191
ENSG00000025293	487.66	357.0378	341.8379	629.1817
ENSG00000025423	5.0175	7.3476	2.4647	0.7552
ENSG00000025434	50.513	48.1293	13.17	25.0319
ENSG00000025708	23.2463	18.2988	15.8201	18.892
ENSG00000025770	255.1306	203.797	73.0246	133.945
ENSG00000025772	672.4412	449.1428	878.0221	1431.2776
ENSG00000025796	1369.7907	1075.8085	1389.7416	1992.3029
ENSG00000025800	1826.58	1176.8515	1464.5723	2319.7165
ENSG00000026025	48747.2458	33268.6656	36788.801	59532.9278
ENSG00000026036	107.6439	79.671	30.2296	90.1921
ENSG00000026103	427.2874	267.0792	412.4732	687.125
ENSG00000026297	62.1337	63.1828	106.6726	219.4606
ENSG00000026508	15277.0255	10708.0017	17663.012	27422.5389
ENSG00000026559	176.4931	117.4917	516.0217	786.3609
ENSG00000026652	62.7832	19.5625	29.1608	62.0605
ENSG00000026751	10.0942	9.1578	9.8039	2.2502
ENSG00000026950	106.143	51.9534	46.3576	51.7199
ENSG00000027001	225.3706	137.0967	183.9474	255.3105
ENSG00000027075	12.2481	16.5152	10.1948	12.0861
ENSG00000027644	0	0	0	0.9777
ENSG00000027697	193.4974	129.4822	227.9826	399.4706
ENSG00000027847	331.4128	233.119	255.2019	454.3625
ENSG00000027869	0	0	6.8065	19.082
ENSG00000028116	204.9639	162.7604	189.7632	265.8481
ENSG00000028137	105.7499	58.8641	169.2511	227.2218
ENSG00000028203	523.3914	463.2765	340.4606	587.0632
ENSG00000028277	64.2766	56.2046	1095.0482	1724.068
ENSG00000028310	423.968	273.3097	225.9287	435.156
ENSG00000028528	949.5285	454.8496	463.1686	891.1164
ENSG00000028839	192.2028	142.206	127.2745	251.1051
ENSG00000029153	550.3302	289.8236	753.9324	1202.7405
ENSG00000029363	2195.6148	1176.8291	1218.8151	1976.8197
ENSG00000029364	762.8197	624.1492	762.0001	1210.7134
ENSG00000029534	32.6479	9.1417	6.1835	4.9432
ENSG00000029559	0	0	0	0
ENSG00000029639	99.4884	70.4435	95.8943	181.6218
ENSG00000029725	800.5467	613.4354	720.7607	1153.3224
ENSG00000029993	383.7379	245.6225	71.0379	147.3376
ENSG00000030066	387.655	208.3671	172.7156	290.8996
ENSG00000030110	223.4909	139.723	324.4745	518.9715
ENSG00000030304	3.3481	0	4.1012	8.8497
ENSG00000030419	174.6864	91.8297	66.0953	90.242
ENSG00000030582	1764.5038	1277.4911	1786.8539	2927.3237
ENSG00000031003	582.3106	363.7501	346.6027	650.5209
ENSG00000031081	660.3914	330.3629	346.4932	568.266
ENSG00000031691	39.9774	29.7663	2.9411	14.6121
ENSG00000031698	1458.9439	940.3286	1165.642	2043.2028
ENSG00000031823	638.955	352.0555	360.1056	566.284
ENSG00000032219	249.6044	271.3127	129.9506	220.6742
ENSG00000032389	195.2111	88.5691	148.1721	222.6217
ENSG00000032444	1200.1014	948.8649	1051.5579	1799.1519
ENSG00000032742	100.0987	73.4053	109.9066	139.6204
ENSG00000033011	352.7237	211.259	322.8885	386.8573
ENSG00000033030	126.0006	58.9124	47.1934	108.9509
ENSG00000033050	850.5089	550.7041	771.4547	1479.6329
ENSG00000033100	1998.516	1439.7766	1619.3424	2572.3761
ENSG00000033122	17.723	4.515	2.7055	5.3717
ENSG00000033170	320.6633	185.1486	294.389	378.1884
ENSG00000033178	762.2511	557.6468	1158.5105	1747.694
ENSG00000033327	173.0337	107.3262	97.0386	164.824
ENSG00000033627	398.3108	314.0274	770.285	1182.2533
ENSG00000033800	366.4519	319.0447	221.3539	405.4662
ENSG00000033867	502.2034	309.51	1059.875	1741.9183
ENSG00000034053	180.32	176.5354	171.0078	311.8152
ENSG00000034152	1319.0357	866.0647	1112.7025	1640.8078
