"Cont_1"	"Cont_2"	"SFN_1"	"SFN_2"
"A1BG"	5.65	5.25	8.55	6.93
"A1BG-AS1"	6.47	6.01	3.89	4.02
"A1CF"	0	0	0	0.01
"A2M"	0.08	0	0	0.06
"A2M-AS1"	0.09	0	0	0.13
"A2ML1"	0	0	0	0
"A2MP1"	0	0	0	0
"A3GALT2"	0	0	0	0
"A4GALT"	2.57	2.48	2.18	2.33
"A4GNT"	0	0	0.04	0.11
"AA06"	0	0	0	0
"AAAS"	56.21	71.84	59.94	62.9
"AACS"	24.59	25.01	18.65	19.71
"AACSP1"	0	0	0	0
"AADAC"	0	0	0.44	0
"AADACL2"	0	0	0	0
"AADACL2-AS1"	0	0	0	0
"AADACL3"	0	0	0	0
"AADACL4"	0	0	0	0
"AADACP1"	0	0.09	0.07	0
"AADAT"	5.6	6.02	4.53	3.31
"AAED1"	24.34	19.58	12.39	10.95
"AAGAB"	36.12	36.51	38.96	40.52
"AAK1"	6	6	5.69	6.32
"AAMDC"	81.14	67.28	81.26	78.85
"AAMP"	138.27	132.83	144.93	136.61
"AANAT"	0.11	0	0.09	0
"AAR2"	42.33	42.97	45.79	41.2
"AARD"	0	0	0	0
"AARS"	144.37	150.91	127.07	133.62
"AARS2"	16.01	15.12	13.03	13.3
"AARSD1"	47.73	42.05	33.1	35.28
"AASDH"	6.21	6.95	6.6	5.85
"AASDHPPT"	47.98	52.79	42.69	44.88
"AASS"	1.72	1.81	1.26	0.85
"AATBC"	0.19	0.18	0.1	0.27
"AATF"	63.97	61.25	57.81	53.18
"AATK"	0.09	0.13	0.05	0.15
"AATK-AS1"	0	0	0	0
"ABALON"	13.95	16.13	17.36	18.56
"ABAT"	0.64	0.52	0.52	0.54
"ABCA1"	10.37	12.7	10.58	10.85
"ABCA10"	0.3	0.3	0.44	0.28
"ABCA11P"	13.12	14.35	7.97	9.5
"ABCA12"	1.13	0.74	0.45	0.64
"ABCA13"	0	0.02	0.02	0.03
"ABCA17P"	0.19	0.11	0.1	0.04
"ABCA2"	5.12	5.14	4.17	4.01
"ABCA3"	15.66	18.13	13.74	15.88
"ABCA4"	0.16	0.06	0.04	0.07
"ABCA5"	4.78	4.45	2.93	3.31
"ABCA6"	0.12	0.02	0.05	0.02
"ABCA7"	4.64	5.58	3.41	3.1
"ABCA8"	0.51	0.3	0.15	0.1
"ABCA9"	0	0.12	0.1	0.11
"ABCA9-AS1"	0	0	0	0
"ABCB1"	1.81	3.27	2.01	2.18
"ABCB10"	15.4	15.28	12.38	12.19
"ABCB11"	0	0	0	0
"ABCB4"	0.12	0.1	0.18	0.05
"ABCB5"	0	0	0	0
"ABCB6"	11	12.4	7.85	7.06
"ABCB7"	16.08	13.29	10.29	11.93
"ABCB8"	12.84	14.43	13.95	14.08
"ABCB9"	4.91	4.92	3.29	3.49
"ABCC1"	23.54	25.62	21.9	23.22
"ABCC10"	9.46	9.72	6.98	6.71
"ABCC11"	0	0	0.09	0
"ABCC12"	0	0	0	0
"ABCC13"	0	0	0	0
"ABCC2"	0.51	1.02	0.61	0.74
"ABCC3"	1.2	1.43	1.41	1.43
"ABCC4"	15.11	15.76	12.2	12.62
"ABCC5"	24.52	25.23	17.22	18.8
"ABCC5-AS1"	0	0	0	0
"ABCC6"	0.02	0.89	0.04	0
"ABCC6P1"	0	0	0.03	0
"ABCC6P2"	0	0.21	0	0.21
"ABCC8"	0	0	0	0
"ABCC9"	0.45	0.56	0.43	0.62
"ABCD1"	14.17	13.37	15.44	15.78
"ABCD2"	0.18	0.05	0.01	0
"ABCD3"	56.92	53.63	38.77	39.11
"ABCD4"	14.76	15.8	12.57	14.7
"ABCE1"	114.02	117.66	93.92	97.67
"ABCF1"	87.38	86.45	77.03	75.47
"ABCF2"	47.87	52.9	45.78	46.33
"ABCF3"	44.49	44.84	35.94	37.46
"ABCG1"	0	0	0	0
"ABCG2"	6.13	5.16	3.03	2.5
"ABCG4"	0.14	0.05	0.19	0.15
"ABCG5"	0	0	0	0.03
"ABCG8"	0	0	0	0
"ABHD1"	0	0	0	0
"ABHD10"	30.94	27.53	18.97	17
"ABHD11"	24.22	25.32	26.12	24.05
"ABHD11-AS1"	3.53	0	0.82	0
"ABHD12"	84.43	94.75	100.75	99.95
"ABHD12B"	0.56	0.15	0.22	0.21
"ABHD13"	11.24	11.22	10.8	12.14
"ABHD14A"	9.07	4.44	5.17	7.35
"ABHD14A-ACY1"	0	1.4	0.24	0
"ABHD14B"	14.35	18.32	14.23	15.67
"ABHD15"	8.28	8.26	7.19	9.08
"ABHD16A"	22.08	21.54	16.9	16.16
"ABHD16B"	12.23	13.74	20.82	20.76
"ABHD17A"	109.79	119.42	121.16	125.19
"ABHD17B"	15.22	16.69	17	17.07
"ABHD17C"	6.75	5.63	2.55	3.41
"ABHD2"	25.2	27.92	22.38	23.37
"ABHD3"	12.67	11.61	16.01	17.65
"ABHD4"	27.53	31.47	41.35	42.01
"ABHD5"	4.41	4.1	4.95	5.37
"ABHD6"	2.24	2.67	2.17	1.99
"ABHD8"	29.1	32.61	37.16	38.02
"ABI1"	34.88	35.16	35.91	36.78
"ABI2"	39.29	41.96	25.68	26.08
"ABI3"	0	0	0.11	0.05
"ABI3BP"	3.58	3.14	2.69	2.89
"ABL1"	50.42	55.48	67.54	68.14
"ABL2"	39.63	47.28	45.1	51.94
"ABLIM1"	8.43	8.89	5.76	6.09
"ABLIM2"	0	0.24	0.2	0
"ABLIM3"	10.48	8.13	6.49	6.97
"ABO"	0	0	0	0
"ABR"	39.71	41.38	34.46	34.41
"ABRA"	0	0	0	0
"ABRACL"	109.75	114.65	110.78	106.83
"ABT1"	29.62	30.46	32.84	30.49
"ABTB1"	7.68	7.06	9.37	6.28
"ABTB2"	3.89	4.31	2.99	2.83
"ACAA1"	14.54	13.5	15.47	15.5
"ACAA2"	29.04	32.13	33.12	34.42
"ACACA"	13.26	13.2	11.41	12.42
"ACACB"	1.52	1.65	0.48	0.65
"ACAD10"	3.33	4.07	3.1	3.06
"ACAD11"	14.75	13.9	10.42	10.2
"ACAD8"	20.97	20.68	15.51	14.62
"ACAD9"	29.32	32.86	29.62	28.81
"ACADL"	0	0	0	0
"ACADM"	45.53	45.59	35.01	35.23
"ACADS"	6.83	7.98	4.91	5.32
"ACADSB"	8.44	8.65	6.53	5.89
"ACADVL"	233.13	231.58	219	215.81
"ACAN"	0	0	0	0.01
"ACAP1"	0.11	0.08	0	0
"ACAP2"	20.25	21.78	22.06	22.97
"ACAP3"	20.87	18.57	13.56	12.66
"ACAT1"	67.35	68.56	54.89	52.62
"ACAT2"	86.38	81.79	66.17	63.27
"ACBD3"	36.52	36.82	40.84	43.48
"ACBD4"	5.8	5.05	2.47	2.31
"ACBD5"	25.12	27.16	24.98	25.13
"ACBD6"	74.09	72.8	59.97	55.47
"ACBD7"	5.96	6.69	4.18	3.32
"ACCS"	0.1	0	0	0.04
"ACCSL"	0	0	0	0
"ACD"	36.16	33	26.82	27.29
"ACE"	0.17	0	0.07	0.07
"ACE2"	0.1	0.05	0	0.03
"ACER1"	0	0.22	0	0.42
"ACER2"	1.48	1.44	2.08	1.6
"ACER3"	7.86	8.04	7.96	9.52
"ACHE"	0.25	0.41	0.23	0.44
"ACIN1"	163.89	171.51	146.67	147.48
"ACKR1"	0	0	0	0
"ACKR2"	0	0	0	0
"ACKR3"	0	0	0	0
"ACKR4"	0.37	0.44	0.17	0.7
"ACLY"	162.88	163.59	148.6	160.23
"ACMSD"	0	0	0	0
"ACO1"	149.49	157.68	151.67	162.44
"ACO2"	54.75	60.76	61.65	60.77
"ACOT1"	7.04	7.35	6.23	9.21
"ACOT11"	0.29	0.33	0.2	0.13
"ACOT12"	0	0	0	0
"ACOT13"	11.43	10.58	10.56	11.06
"ACOT2"	49.39	55.7	53.05	48.31
"ACOT4"	0.31	0.13	0.1	0.06
"ACOT6"	0	0	0	0
"ACOT7"	110.4	110.85	143.54	137.58
"ACOT8"	27.51	27.48	28.16	28.07
"ACOT9"	81.79	81.42	65.54	66.22
"ACOX1"	13.08	12.81	12.76	12.94
"ACOX2"	0.04	0	0.06	0.08
"ACOX3"	7.23	8.44	5.41	4.06
"ACOXL"	0.04	0	0	0
"ACP1"	145.02	144.93	144.09	158.19
"ACP2"	24.57	27.5	26.6	26.54
"ACP5"	0.07	0.15	0.27	0.28
"ACP6"	12.46	10.04	6.65	7.77
"ACPP"	0	0	0	0
"ACPT"	0	0	0	0
"ACR"	0	0	0	0
"ACRBP"	0	0	0.08	0.1
"ACRC"	0.89	0.7	2.02	1.45
"ACRV1"	0.19	0.26	0.07	0.1
"ACSBG1"	0.06	0.1	0.22	0.12
"ACSBG2"	0.26	0.12	0	0.07
"ACSF2"	22.98	21.33	18.05	15.73
"ACSF3"	8.68	8.5	7.37	7.1
"ACSL1"	29.61	29.27	25.26	26.21
"ACSL3"	27.32	26.24	23.75	28.06
"ACSL4"	62.57	71.97	73.13	77.05
"ACSL5"	2.35	1.68	2.07	2.75
"ACSL6"	0	0.03	0	0
"ACSM1"	0	0	0	0
"ACSM2A"	0	0	0	0
"ACSM2B"	0	0	0	0
"ACSM3"	1.22	0.82	0.31	0.32
"ACSM4"	0	0	0	0
"ACSM5"	0.16	0.04	0	0.04
"ACSM6"	0	0	0	0
"ACSS1"	0.04	0.11	0.06	0.11
"ACSS2"	13.35	13.46	11.62	11.67
"ACSS3"	1.51	1.95	1.57	1.13
"ACTA1"	0.07	0	0	0.34
"ACTA2"	10.18	11.53	12.49	14.46
"ACTA2-AS1"	0	0	0	0.14
"ACTB"	4006	4182.56	4220.44	4179.68
"ACTBL2"	2.58	2.9	1.05	0.92
"ACTC1"	0.1	0.18	0.06	0.12
"ACTG1"	4946.87	5146.24	5210.55	5326.96
"ACTG1P17"	0	0.32	0.1	0.12
"ACTG1P20"	2.7	2.08	1.8	1.98
"ACTG1P4"	0.2	0.88	0.5	0.88
"ACTG2"	20.47	23.77	21.34	17.84
"ACTL10"	0.67	1.16	1.6	1.28
"ACTL6A"	108.41	105.56	98.04	102.72
"ACTL6B"	0	0	0	0
"ACTL7A"	0	0	0.1	0
"ACTL7B"	0	0	0.06	0
"ACTL8"	0	0	0.04	0
"ACTL9"	0	0	0	0
"ACTN1"	665.82	668.21	784.81	823.51
"ACTN1-AS1"	0	0	0	0
"ACTN2"	0	0.04	0.03	0
"ACTN3"	0	0	0	0
"ACTN4"	576.43	567.64	590.95	618.71
"ACTR10"	94	94.99	86.99	84.95
"ACTR1A"	121.68	130.29	128.22	126.39
"ACTR1B"	23.77	21.9	13.16	11.02
"ACTR2"	330.75	331.95	294.87	323.83
"ACTR3"	142.44	153.5	138.48	143.95
"ACTR3B"	6.59	4.67	5.03	4.46
"ACTR3BP2"	0	0	0	0
"ACTR3BP5"	0	0	0	0
"ACTR3C"	0.17	0.54	0.47	0.17
"ACTR5"	13.82	13.53	9.93	8.77
"ACTR6"	29.62	25.37	23.13	26.64
"ACTR8"	9.79	10.32	8.07	7.06
"ACTRT1"	0	0	0	0
"ACTRT2"	0	0	0	0
"ACTRT3"	6.03	3.32	4.82	5.05
"ACVR1"	19.02	19.5	28.18	26.91
"ACVR1B"	10.49	9.75	10.36	12.02
"ACVR1C"	0.74	0.87	0.42	0.39
"ACVR2A"	1.54	2.22	2.14	2.15
"ACVR2B"	0.39	0.32	0.17	0.19
"ACVR2B-AS1"	0	0	0.12	0
"ACVRL1"	0.02	0.18	0.07	0.04
"ACY1"	17.23	15.91	17.14	16.9
"ACY3"	0	0	0	0
"ACYP1"	68.25	73.29	50.08	46.81
"ACYP2"	7.25	5.64	9.2	7.41
"ADA"	23.46	25.95	15.53	14.12
"ADAD1"	0	0	0	0
"ADAD2"	0	0	0	0
"ADAL"	7.66	8.37	3.84	4.01
"ADAM10"	36.23	39.83	30.93	31.14
"ADAM11"	0.38	0.68	0.45	0.5
"ADAM12"	4.96	4.8	4.42	5.17
"ADAM15"	80.37	79.77	82.28	81.29
"ADAM17"	36.1	33.84	45.61	47.35
"ADAM18"	0	0	0	0
"ADAM19"	28.89	28.47	30.14	31.55
"ADAM1A"	3.11	3.26	3.1	2.8
"ADAM2"	0	0	0	0
"ADAM20"	0.17	0	0.03	0.1
"ADAM20P1"	0.18	0.26	0.35	0.54
"ADAM21"	0.7	1.48	1.84	1
"ADAM21P1"	0	0	0	0
"ADAM22"	2.63	2.09	1.29	0.79
"ADAM23"	0.14	0.15	0.28	0.32
"ADAM28"	0	0	0.04	0
"ADAM29"	0.03	0	0	0
"ADAM30"	0	0.03	0	0
"ADAM32"	1.46	0.83	0.71	1.08
"ADAM33"	0	0	0	0
"ADAM3A"	0	0	0	0
"ADAM5"	0.23	0	0	0.06
"ADAM6"	0	0	0	0
"ADAM7"	0	0	0	0
"ADAM8"	10.88	12.13	8.19	8.34
"ADAM9"	384.96	391.49	365.58	386.84
"ADAMDEC1"	0	0	0	0
"ADAMTS1"	270.37	283.76	228.19	240.56
"ADAMTS10"	0	0	0	0
"ADAMTS12"	12.47	11.82	9.95	10.73
"ADAMTS13"	0.73	0.58	1.07	0.87
"ADAMTS14"	0.22	0.07	0.1	0.15
"ADAMTS15"	0.32	0.46	0.05	0.06
"ADAMTS16"	3.36	4	2.4	2.86
"ADAMTS17"	0.22	0.12	0.08	0.05
"ADAMTS18"	0	0.05	0.03	0.01
"ADAMTS19"	0	0	0	0
"ADAMTS19-AS1"	0	0	0	0
"ADAMTS2"	0	0	0	0
"ADAMTS20"	0	0	0	0
"ADAMTS3"	2.05	3.18	1.74	1.27
"ADAMTS4"	0	0	0.03	0.02
"ADAMTS5"	5.18	5.55	2.21	2.54
"ADAMTS6"	14.01	13.68	9.33	9.45
"ADAMTS7"	3.66	4.58	3.3	3.45
"ADAMTS7P1"	0	0	0.01	0
"ADAMTS8"	0	0	0.09	0.07
"ADAMTS9"	0	0	0	0
"ADAMTS9-AS1"	0	0	0	0
"ADAMTS9-AS2"	0	0	0	0
"ADAMTSL1"	29.48	27.9	24.65	24.83
"ADAMTSL2"	0	0	0	0.02
"ADAMTSL3"	2.26	2.27	1.52	1.57
"ADAMTSL4"	5.41	4.83	4.58	5.44
"ADAMTSL4-AS1"	0.22	0.12	0.09	0
"ADAMTSL5"	4.99	3.65	4.08	4.41
"ADAP1"	0.4	0	0.47	0.15
"ADAP2"	0.1	0.11	0.21	0.3
"ADAR"	71.6	76.9	61.24	61.68
"ADARB1"	3.61	5.01	3.39	3.36
"ADARB2"	0	0	0	0
"ADARB2-AS1"	0	0	0	0
